 1 Barreau:1983ht             0
 2 O'Connell:1987ag           0
 3 Sealock:1989nx             0
 4 Baran:1988tw               0
 5 Bagdasaryan:1988hp         0
 6 Zeller:1973ge              0
 7 Arrington:1995hs           0
 8 Day:1993md                 0
# 9 Arrington:1998psnoCC       0
10 xemc                       1
11 Whitney:1974hr             0
12 YaLIJan05                  0
13 VaheJun07                  1
 0 end
 29 64   5.766  40.000   3.878  0.1107E+02  0.6441E-01 10
 29 64   5.766  40.000   3.833  0.9139E+01  0.4357E-01 10
 29 64   5.766  40.000   3.789  0.7582E+01  0.4942E-01 10
 29 64   5.766  40.000   3.746  0.6301E+01  0.3169E-01 10
 29 64   5.766  40.000   3.705  0.5092E+01  0.2748E-01 10
 29 64   5.766  40.000   3.664  0.4086E+01  0.3389E-01 10
 29 64   5.766  40.000   3.624  0.3319E+01  0.2128E-01 10
 29 64   5.766  40.000   3.584  0.2648E+01  0.1931E-01 10
 29 64   5.766  40.000   3.546  0.2198E+01  0.2529E-01 10
 29 64   5.766  40.000   3.509  0.1730E+01  0.1394E-01 10
 29 64   5.766  40.000   3.472  0.1367E+01  0.1316E-01 10
 29 64   5.766  40.000   3.436  0.1061E+01  0.1497E-01 10
 29 64   5.766  40.000   3.401  0.8551E+00  0.1270E-01 10
 29 64   5.766  40.000   3.366  0.6782E+00  0.1110E-01 10
 29 64   5.766  40.000   3.332  0.5275E+00  0.9551E-02 10
 29 64   5.766  40.000   3.299  0.3981E+00  0.6278E-02 10
 29 64   5.766  40.000   3.267  0.3168E+00  0.8605E-02 10
 29 64   5.766  40.000   3.235  0.2536E+00  0.7539E-02 10
 29 64   5.766  40.000   3.204  0.1785E+00  0.6213E-02 10
 29 64   5.766  40.000   3.173  0.1456E+00  0.5585E-02 10
 29 64   5.766  40.000   3.143  0.1056E+00  0.4840E-02 10
 29 64   5.766  40.000   3.113  0.8151E-01  0.2805E-02 10
 29 64   5.766  40.000   3.084  0.6225E-01  0.2935E-02 10
 29 64   5.766  40.000   3.028  0.3966E-01  0.2389E-02 10
 29 64   5.766  40.000   3.001  0.2593E-01  0.2080E-02 10
 29 64   5.766  40.000   2.974  0.2335E-01  0.1998E-02 10
 29 64   5.766  40.000   2.921  0.1069E-01  0.1312E-02 10
 29 64   5.766  40.000   2.896  0.1077E-01  0.1298E-02 10
 29 64   5.766  40.000   2.871  0.7919E-02  0.1194E-02 10
 29 64   5.766  40.000   2.822  0.3217E-02  0.7933E-03 10
 29 64   5.766  40.000   2.798  0.3650E-02  0.8307E-03 10
 29 64   5.766  40.000   2.775  0.3234E-02  0.9058E-03 10
 29 64   5.766  40.000   2.729  0.1281E-02  0.4531E-03 10
 29 64   5.766  40.000   2.707  0.1017E-02  0.5608E-03 10
 29 64   5.766  40.000   2.685  0.5929E-03  0.5901E-03 10
 29 64   5.766  40.000   2.621  0.1115E-02  0.6437E-03 10
 29 64   5.766  50.000   4.973  0.4625E+02  0.5899E+00 10
 29 64   5.766  50.000   4.925  0.4237E+02  0.4866E+00 10
 29 64   5.766  50.000   4.877  0.3774E+02  0.4099E+00 10
 29 64   5.766  50.000   4.831  0.3254E+02  0.2593E+00 10
 29 64   5.766  50.000   4.785  0.2863E+02  0.2366E+00 10
 29 64   5.766  50.000   4.740  0.2443E+02  0.2172E+00 10
 29 64   5.766  50.000   4.696  0.2062E+02  0.1521E+00 10
 29 64   5.766  50.000   4.653  0.1791E+02  0.1246E+00 10
 29 64   5.766  50.000   4.611  0.1504E+02  0.1089E+00 10
 29 64   5.766  50.000   4.569  0.1271E+02  0.8667E-01 10
 29 64   5.766  50.000   4.528  0.1047E+02  0.8524E-01 10
 29 64   5.766  50.000   4.488  0.8782E+01  0.6126E-01 10
 29 64   5.766  50.000   4.449  0.7321E+01  0.6692E-01 10
 29 64   5.766  50.000   4.410  0.5905E+01  0.4872E-01 10
 29 64   5.766  50.000   4.372  0.4915E+01  0.5452E-01 10
 29 64   5.766  50.000   4.334  0.3987E+01  0.4230E-01 10
 29 64   5.766  50.000   4.298  0.3316E+01  0.2981E-01 10
 29 64   5.766  50.000   4.261  0.2655E+01  0.2653E-01 10
 29 64   5.766  50.000   4.226  0.2106E+01  0.2294E-01 10
 29 64   5.766  50.000   4.191  0.1709E+01  0.2067E-01 10
 29 64   5.766  50.000   4.156  0.1315E+01  0.1840E-01 10
 29 64   5.766  50.000   4.123  0.1044E+01  0.1681E-01 10
 29 64   5.766  50.000   4.089  0.8491E+00  0.1656E-01 10
 29 64   5.766  50.000   4.057  0.6467E+00  0.1126E-01 10
 29 64   5.766  50.000   4.024  0.4855E+00  0.1629E-01 10
 29 64   5.766  50.000   3.993  0.3899E+00  0.1325E-01 10
 29 64   5.766  50.000   3.961  0.2922E+00  0.8307E-02 10
 29 64   5.766  50.000   3.931  0.2252E+00  0.9614E-02 10
 29 64   5.766  50.000   3.900  0.1790E+00  0.6732E-02 10
 29 64   5.766  50.000   3.871  0.1370E+00  0.8407E-02 10
 29 64   5.766  50.000   3.841  0.9551E-01  0.5216E-02 10
 29 64   5.766  50.000   3.812  0.7475E-01  0.7384E-02 10
 29 64   5.766  50.000   3.784  0.5756E-01  0.3632E-02 10
 29 64   5.766  50.000   3.756  0.3917E-01  0.3185E-02 10
 29 64   5.766  50.000   3.728  0.3468E-01  0.3036E-02 10
 29 64   5.766  50.000   3.701  0.2529E-01  0.3272E-02 10
 29 64   5.766  50.000   3.674  0.1193E-01  0.3367E-02 10
 29 64   5.766  50.000   3.647  0.8624E-02  0.2994E-02 10
 29 64   5.766  50.000   3.621  0.7060E-02  0.2692E-02 10
 29 64   5.766  50.000   3.596  0.5441E-02  0.2626E-02 10
 29 64   5.766  50.000   3.570  0.1649E-02  0.2464E-02 10
 29 64   5.766  50.000   3.545  0.4391E-02  0.1656E-02 10
 29 64   5.766  50.000   3.521  0.1884E-02  0.1527E-02 10
 29 64   5.766  50.000   3.496  0.2115E-02  0.1565E-02 10
 29 64   5.766  50.000   3.472  0.1869E-02  0.6232E-03 10
