E0    Ep     Theta     x      Q2     w2     sigma     sigma_err
   2.8370   1.3470    44.99    0.800    2.238    1.439      2.600e+00      8.200e-02
   2.8370   1.3350    44.99    0.787    2.218    1.481      2.800e+00      1.500e-01
   2.8370   1.0960    61.21    0.987    3.224    0.924      3.800e-01      9.000e-03
   2.8370   1.0850    61.21    0.971    3.191    0.977      3.800e-01      8.800e-03
   2.8370   1.0750    61.21    0.956    3.162    1.025      3.400e-01      9.000e-03
   2.8370   1.0650    61.21    0.942    3.133    1.073      3.200e-01      1.560e-02
   2.8370   1.0540    61.21    0.927    3.100    1.126      2.800e-01      2.000e-02
   2.8370   1.0440    61.21    0.913    3.071    1.174      2.600e-01      1.180e-02
   2.8370   1.0340    61.21    0.899    3.041    1.222      3.000e-01      1.200e-02
   2.8370   1.0230    61.21    0.884    3.009    1.275      3.000e-01      1.240e-02
   2.8370   1.0130    61.21    0.871    2.980    1.324      3.600e-01      1.300e-02
   2.8370   1.0020    61.21    0.856    2.947    1.377      4.200e-01      1.500e-02
   2.8370   0.9920    61.21    0.843    2.918    1.425      4.800e-01      1.760e-02
   2.8370   0.9820    61.21    0.830    2.888    1.473      5.600e-01      3.200e-02
   2.8370   0.6990    89.97    0.988    3.964    0.928      7.600e-02      1.880e-03
   2.8370   0.6930    89.97    0.977    3.930    0.974      7.400e-02      1.820e-03
   2.8370   0.6860    89.97    0.964    3.890    1.026      7.200e-02      1.820e-03
   2.8370   0.6800    89.97    0.953    3.856    1.072      6.600e-02      1.780e-03
   2.8370   0.6730    89.97    0.940    3.817    1.125      6.200e-02      1.800e-03
   2.8370   0.6660    89.97    0.927    3.777    1.177      6.200e-02      1.900e-03
   2.8370   0.6600    89.97    0.916    3.743    1.223      6.800e-02      2.200e-03
   2.8370   0.6530    89.97    0.904    3.703    1.276      7.000e-02      2.200e-03
   2.8370   0.6460    89.97    0.891    3.663    1.328      8.200e-02      2.400e-03
   2.8370   0.6400    89.97    0.880    3.629    1.374      9.400e-02      2.600e-03
   2.8370   0.6330    89.97    0.868    3.590    1.426      1.040e-01      3.000e-03
   2.8370   0.6270    89.97    0.857    3.556    1.472      1.120e-01      3.400e-03
   3.1880   1.5075    47.68    0.996    3.140    0.893      6.454e-01      2.461e-02
   3.1880   1.4957    47.68    0.981    3.116    0.940      7.099e-01      2.519e-02
   3.1880   1.4840    47.68    0.967    3.092    0.986      6.457e-01      2.372e-02
   3.1880   1.4722    47.68    0.953    3.067    1.033      5.923e-01      2.247e-02
   3.1880   1.4605    47.68    0.939    3.043    1.080      6.051e-01      2.262e-02
   3.1880   1.4487    47.68    0.925    3.018    1.126      6.004e-01      2.210e-02
   3.1880   1.4370    47.68    0.911    2.994    1.173      5.593e-01      2.146e-02
   3.1880   1.4252    47.68    0.898    2.969    1.219      5.717e-01      2.195e-02
   3.1880   1.4135    47.68    0.884    2.945    1.266      6.174e-01      2.352e-02
   3.1880   1.4017    47.68    0.871    2.920    1.312      6.770e-01      2.591e-02
   4.0450   3.5200    15.00    0.985    0.970    0.895      9.708e+02      7.669e+00
   4.0450   3.5050    15.00    0.953    0.966    0.927      8.238e+02      6.343e+00
   4.0450   3.4900    15.00    0.924    0.962    0.960      6.235e+02      4.926e+00
   4.0450   3.4750    15.00    0.896    0.958    0.992      4.468e+02      3.753e+00
   4.0450   3.4600    15.00    0.869    0.954    1.024      3.092e+02      2.906e+00
   4.0450   3.4450    15.00    0.843    0.950    1.057      2.400e+02      2.448e+00
