exp   x   Q2   W2   F2d/p    F2d/p_err   F2d/p_f1f217    f2d/p_ineft    F2d_f1f217    F2p_f1f217    F2d_ineft    F2p_ineft
8  0.794  1.935  1.38238  0.9684  0.0837473  0.792035  0.78282  0.09212  0.05815  0.04169  0.05326
8  0.803  1.942  1.35679  1.1024  0.0958832  0.954185  0.89246  0.08442  0.04424  0.03735  0.04185
8  0.812  1.949  1.3316  1.422  0.124105  1.18457  1.01126  0.07705  0.03252  0.03347  0.0331
8  0.821  1.956  1.30682  1.6299  0.142897  1.51371  1.13766  0.07029  0.02322  0.0299  0.02628
8  0.831  1.963  1.27957  2.1344  0.188824  2.07732  1.29292  0.06378  0.01535  0.02616  0.02023
8  0.84  1.97  1.25559  2.4067  0.214348  2.91328  1.45748  0.05896  0.01012  0.02289  0.01571
8  0.85  1.977  1.22924  3.524  0.31701  4.68957  1.70755  0.05491  0.00585  0.01927  0.01129
8  0.86  1.984  1.20333  5.7299  0.52399  9.07408  2.14537  0.05228  0.00288  0.0156  0.00727
8  0.87  1.991  1.17786  12.7731  1.18586  26.9357  3.38449  0.0511  0.00095  0.01182  0.00349
8  0.857  2.622  1.31786  1.4753  0.124214  1.40806  1.08891  0.04541  0.01612  0.01889  0.01735
8  0.873  2.654  1.26645  2.5159  0.215076  2.70563  1.37632  0.03939  0.00728  0.01447  0.01051
8  0.906  2.719  1.16246  261.943  27.8892  125.898  7.41972  0.03453  0.00014  0.00537  0.00072
8  0.638  2.304  2.18764  0.5734  0.0304195  0.637805  0.71975  0.16832  0.13195  0.08826  0.12262
8  0.6445  2.315  2.15729  0.5811  0.0309421  0.69423  0.7317  0.16177  0.11651  0.07992  0.10923
8  0.787  2.532  1.56564  0.8385  0.0440716  0.71644  0.66214  0.07722  0.0539  0.04046  0.06111
8  0.795  2.544  1.53635  0.7785  0.0410709  0.65647  0.61778  0.07435  0.05663  0.0391  0.0633
8  0.8035  2.554  1.50495  0.7641  0.0395612  0.60345  0.58091  0.07106  0.05888  0.03711  0.06389
8  0.8115  2.565  1.47617  0.7437  0.0366825  0.57812  0.57186  0.06757  0.05844  0.03454  0.0604
8  0.82  2.576  1.44582  0.7216  0.0357338  0.58869  0.60211  0.06355  0.05398  0.03134  0.05205
8  0.828  2.587  1.41775  0.7883  0.0391912  0.643065  0.66936  0.05954  0.04629  0.02827  0.04224
8  0.8715  2.641  1.26976  1.6055  0.134539  2.57198  1.35442  0.03998  0.00777  0.01487  0.01098
8  0.8805  2.652  1.24028  2.109  0.17736  4.20873  1.58038  0.03755  0.00446  0.01241  0.00785
8  0.8895  2.663  1.21117  2.8082  0.236997  8.20811  1.95796  0.03595  0.00219  0.00992  0.00506
8  0.8995  2.674  1.17912  5.1771  0.441546  28.8433  3.22485  0.0352  0.00061  0.00707  0.00219
8  0.6835  3.095  2.31352  0.767  0.0404642  0.603875  0.59677  0.11953  0.09897  0.0611  0.10238
8  0.6905  3.115  2.27658  0.6731  0.0355103  0.558585  0.57378  0.11515  0.10307  0.05866  0.10224
8  0.7115  3.171  2.16614  0.5581  0.029827  0.646585  0.71249  0.10092  0.07804  0.05102  0.07161
8  0.719  3.191  2.12746  0.5902  0.0316586  0.714965  0.74933  0.09561  0.06687  0.04674  0.06238
