EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin5                                                                
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.607  4.78    1.59    5.83    0.84    0.01    6.68  0.845
   3.211  0.345  9.95    1.71    2.77    0.89    0.01    3.67 5.977E+00

  10.589 21.607  4.77    1.61    5.91    0.85    0.01    6.77  0.845
   3.203  0.344  9.97    1.73    2.87    0.90    0.01    3.78 6.004E+00

  10.589 21.607  4.75    1.62    5.99    0.86    0.01    6.86  0.845
   3.195  0.343 10.00    1.74    2.97    0.91    0.01    3.89 6.030E+00

  10.589 21.607  4.74    1.64    6.07    0.87    0.01    6.95  0.845
   3.187  0.341 10.03    1.76    3.06    0.92    0.01    3.99 6.057E+00

  10.589 21.607  4.73    1.66    6.15    0.88    0.01    7.04  0.845
   3.179  0.340 10.06    1.78    3.16    0.94    0.01    4.10 6.084E+00

  10.589 21.607  4.72    1.67    6.23    0.89    0.01    7.13  0.845
   3.171  0.339 10.08    1.80    3.26    0.95    0.01    4.22 6.111E+00

  10.589 21.607  4.71    1.69    6.31    0.90    0.01    7.22  0.845
   3.163  0.338 10.11    1.82    3.36    0.96    0.01    4.33 6.138E+00

  10.589 21.607  4.69    1.71    6.38    0.92    0.01    7.31  0.845
   3.155  0.337 10.14    1.83    3.45    0.97    0.01    4.43 6.165E+00

  10.589 21.607  4.68    1.72    6.47    0.93    0.01    7.41  0.845
   3.147  0.335 10.16    1.85    3.55    0.98    0.01    4.55 6.193E+00

  10.589 21.607  4.67    1.74    6.55    0.94    0.01    7.50  0.845
   3.139  0.334 10.19    1.87    3.65    1.00    0.01    4.66 6.220E+00

  10.589 21.607  4.66    1.76    6.63    0.95    0.01    7.59  0.845
   3.131  0.333 10.22    1.89    3.75    1.01    0.01    4.78 6.247E+00

  10.589 21.607  4.65    1.78    6.71    0.96    0.01    7.69  0.845
   3.123  0.332 10.24    1.91    3.85    1.02    0.01    4.89 6.274E+00

  10.589 21.607  4.64    1.79    6.80    0.98    0.01    7.78  0.845
   3.115  0.330 10.27    1.93    3.96    1.04    0.01    5.00 6.301E+00

  10.589 21.607  4.62    1.81    6.88    0.99    0.01    7.88  0.845
   3.107  0.329 10.30    1.95    4.06    1.05    0.01    5.12 6.328E+00

  10.589 21.607  4.61    1.83    6.96    1.00    0.01    7.97  0.845
   3.099  0.328 10.32    1.97    4.16    1.06    0.01    5.23 6.355E+00

  10.589 21.607  4.60    1.85    7.06    1.01    0.01    8.09  0.845
   3.091  0.327 10.35    1.99    4.28    1.08    0.01    5.37 6.382E+00

  10.589 21.607  4.59    1.87    7.14    1.03    0.01    8.18  0.845
   3.083  0.326 10.38    2.01    4.38    1.09    0.01    5.48 6.410E+00

  10.589 21.607  4.58    1.88    7.22    1.04    0.01    8.28  0.845
   3.075  0.325 10.40    2.03    4.47    1.10    0.01    5.59 6.437E+00

