EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin15                                                               
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   3.059  0.691  5.24    0.73  -10.67    0.38    0.00  -10.30 1.992E-01

  10.589 31.875  9.74    0.70   -5.33    0.35    0.00   -4.97  0.917
   3.051  0.689  5.28    0.73  -10.55    0.37    0.00  -10.18 2.036E-01

  10.589 31.875  9.72    0.71   -5.25    0.35    0.00   -4.89  0.912
   3.043  0.686  5.32    0.74  -10.45    0.37    0.00  -10.08 2.080E-01

  10.589 31.875  9.69    0.71   -5.16    0.35    0.00   -4.80  0.908
   3.035  0.684  5.36    0.74  -10.35    0.37    0.00   -9.97 2.125E-01

  10.589 31.875  9.67    0.72   -5.07    0.35    0.00   -4.71  0.902
   3.027  0.681  5.40    0.75  -10.23    0.37    0.00   -9.86 2.171E-01

  10.589 31.875  9.64    0.72   -4.98    0.35    0.00   -4.63  0.898
   3.019  0.679  5.44    0.76  -10.13    0.37    0.00   -9.76 2.217E-01

  10.589 31.875  9.62    0.73   -4.89    0.35    0.00   -4.54  0.893
   3.011  0.676  5.48    0.76  -10.02    0.37    0.00   -9.65 2.264E-01

  10.589 31.875  9.59    0.73   -4.79    0.35    0.00   -4.44  0.889
   3.003  0.674  5.53    0.77   -9.90    0.37    0.00   -9.53 2.311E-01

  10.589 31.875  9.56    0.74   -4.70    0.35    0.00   -4.35  0.884
   2.995  0.671  5.57    0.77   -9.79    0.37    0.00   -9.42 2.360E-01

  10.589 31.875  9.54    0.74   -4.62    0.35    0.00   -4.26  0.881
   2.987  0.669  5.61    0.78   -9.69    0.37    0.00   -9.32 2.408E-01

  10.589 31.875  9.51    0.75   -4.53    0.35    0.00   -4.17  0.877
   2.979  0.666  5.65    0.79   -9.58    0.37    0.00   -9.21 2.458E-01

  10.589 31.875  9.49    0.76   -4.43    0.35    0.00   -4.08  0.873
   2.971  0.664  5.69    0.79   -9.47    0.37    0.00   -9.09 2.508E-01

  10.589 31.875  9.46    0.76   -4.34    0.35    0.00   -3.99  0.870
   2.963  0.661  5.73    0.80   -9.36    0.37    0.00   -8.98 2.559E-01

  10.589 31.875  9.44    0.77   -4.25    0.35    0.00   -3.89  0.866
   2.955  0.659  5.77    0.80   -9.24    0.37    0.00   -8.87 2.610E-01

  10.589 31.955 10.36    0.63   -7.45    0.44    0.00   -7.01  1.117
   3.227  0.750  4.34    0.66  -13.10    0.46    0.00  -12.64 1.162E-01

  10.589 31.955 10.33    0.63   -7.36    0.43    0.00   -6.93  1.104
   3.219  0.747  4.38    0.66  -12.99    0.45    0.00  -12.54 1.192E-01

  10.589 31.955 10.30    0.63   -7.26    0.43    0.00   -6.83  1.092
   3.211  0.744  4.42    0.67  -12.87    0.45    0.00  -12.43 1.223E-01

  10.589 31.955 10.28    0.63   -7.17    0.42    0.00   -6.75  1.081
   3.203  0.742  4.46    0.67  -12.77    0.44    0.00  -12.33 1.254E-01

  10.589 31.955 10.25    0.63   -7.08    0.41    0.00   -6.67  1.069
   3.195  0.739  4.50    0.67  -12.66    0.44    0.00  -12.23 1.286E-01

  10.589 31.955 10.23    0.64   -6.99    0.41    0.00   -6.58  1.059
   3.187  0.736  4.54    0.67  -12.55    0.43    0.00  -12.12 1.318E-01

  10.589 31.955 10.20    0.64   -6.89    0.40    0.00   -6.49  1.048
   3.179  0.734  4.58    0.67  -12.44    0.42    0.00  -12.01 1.351E-01

  10.589 31.955 10.18    0.64   -6.81    0.40    0.00   -6.41  1.038
   3.171  0.731  4.62    0.68  -12.33    0.42    0.00  -11.91 1.385E-01

  10.589 31.955 10.15    0.65   -6.71    0.39    0.00   -6.32  1.028
   3.163  0.728  4.66    0.68  -12.22    0.42    0.00  -11.80 1.419E-01

  10.589 31.955 10.13    0.65   -6.62    0.39    0.00   -6.23  1.019
   3.155  0.726  4.71    0.68  -12.10    0.41    0.00  -11.69 1.454E-01

  10.589 31.955 10.10    0.65   -6.53    0.39    0.00   -6.14  1.010
   3.147  0.723  4.75    0.68  -12.00    0.41    0.00  -11.59 1.489E-01

  10.589 31.955 10.07    0.65   -6.43    0.38    0.00   -6.05  1.001
   3.139  0.721  4.79    0.69  -11.88    0.40    0.00  -11.48 1.525E-01

  10.589 31.955 10.05    0.66   -6.34    0.38    0.00   -5.96  0.993
   3.131  0.718  4.83    0.69  -11.77    0.40    0.00  -11.37 1.562E-01

  10.589 31.955 10.02    0.66   -6.25    0.38    0.00   -5.87  0.984
   3.123  0.715  4.87    0.69  -11.66    0.40    0.00  -11.26 1.599E-01

  10.589 31.955 10.00    0.66   -6.16    0.37    0.00   -5.79  0.977
   3.115  0.713  4.91    0.70  -11.55    0.39    0.00  -11.16 1.637E-01

  10.589 31.955  9.97    0.67   -6.06    0.37    0.00   -5.69  0.969
   3.107  0.710  4.95    0.70  -11.44    0.39    0.00  -11.05 1.675E-01

  10.589 31.955  9.95    0.67   -5.97    0.37    0.00   -5.60  0.962
   3.099  0.708  4.99    0.70  -11.32    0.39    0.00  -10.93 1.714E-01

  10.589 31.955  9.92    0.68   -5.88    0.37    0.00   -5.52  0.955
   3.091  0.705  5.03    0.71  -11.22    0.39    0.00  -10.83 1.754E-01

  10.589 31.955  9.89    0.68   -5.79    0.36    0.00   -5.43  0.948
   3.083  0.702  5.07    0.71  -11.11    0.38    0.00  -10.72 1.794E-01

  10.589 31.955  9.87    0.68   -5.70    0.36    0.00   -5.34  0.941
   3.075  0.700  5.11    0.72  -11.00    0.38    0.00  -10.62 1.834E-01

  10.589 31.955  9.84    0.69   -5.61    0.36    0.00   -5.25  0.935
   3.067  0.697  5.15    0.72  -10.89    0.38    0.00  -10.51 1.876E-01

  10.589 31.955  9.82    0.69   -5.53    0.36    0.00   -5.17  0.929
   3.059  0.695  5.19    0.73  -10.79    0.38    0.00  -10.41 1.918E-01

  10.589 31.955  9.79    0.70   -5.43    0.36    0.00   -5.08  0.923
   3.051  0.692  5.23    0.73  -10.68    0.38    0.00  -10.30 1.960E-01

  10.589 31.955  9.77    0.70   -5.33    0.36    0.00   -4.98  0.918
   3.043  0.690  5.28    0.74  -10.56    0.38    0.00  -10.18 2.004E-01

  10.589 31.955  9.74    0.71   -5.25    0.36    0.00   -4.90  0.912
   3.035  0.687  5.32    0.74  -10.46    0.38    0.00  -10.08 2.047E-01

  10.589 31.955  9.71    0.71   -5.16    0.35    0.00   -4.81  0.909
   3.027  0.685  5.36    0.75  -10.35    0.38    0.00   -9.97 2.092E-01

  10.589 31.955  9.69    0.72   -5.07    0.35    0.00   -4.72  0.903
   3.019  0.682  5.40    0.75  -10.24    0.37    0.00   -9.86 2.137E-01

  10.589 31.955  9.66    0.72   -4.99    0.35    0.00   -4.64  0.898
   3.011  0.680  5.44    0.76  -10.14    0.37    0.00   -9.76 2.183E-01

  10.589 31.955  9.64    0.73   -4.89    0.35    0.00   -4.54  0.893
   3.003  0.677  5.48    0.76  -10.02    0.37    0.00   -9.65 2.229E-01

  10.589 31.955  9.61    0.74   -4.80    0.35    0.00   -4.44  0.889
   2.995  0.674  5.52    0.77   -9.90    0.37    0.00   -9.53 2.276E-01

  10.589 31.955  9.59    0.74   -4.70    0.35    0.00   -4.35  0.885
   2.987  0.672  5.56    0.78   -9.79    0.37    0.00   -9.42 2.324E-01

  10.589 31.955  9.56    0.75   -4.62    0.35    0.00   -4.27  0.881
   2.979  0.669  5.60    0.78   -9.69    0.37    0.00   -9.32 2.372E-01

  10.589 31.955  9.53    0.75   -4.53    0.35    0.00   -4.18  0.877
   2.971  0.667  5.64    0.79   -9.58    0.37    0.00   -9.21 2.421E-01

  10.589 31.955  9.51    0.76   -4.44    0.35    0.00   -4.08  0.873
   2.963  0.664  5.68    0.79   -9.47    0.37    0.00   -9.09 2.471E-01

  10.589 31.955  9.48    0.77   -4.34    0.35    0.00   -3.99  0.870
   2.955  0.662  5.72    0.80   -9.36    0.37    0.00   -8.98 2.521E-01

  10.589 32.035 10.41    0.63   -7.55    0.45    0.00   -7.10  1.132
   3.227  0.753  4.29    0.66  -13.23    0.47    0.00  -12.75 1.111E-01

  10.589 32.035 10.38    0.63   -7.47    0.44    0.00   -7.02  1.119
   3.219  0.751  4.33    0.67  -13.12    0.46    0.00  -12.66 1.140E-01

  10.589 32.035 10.36    0.63   -7.37    0.44    0.00   -6.94  1.106
   3.211  0.748  4.37    0.67  -13.00    0.46    0.00  -12.55 1.170E-01

  10.589 32.035 10.33    0.63   -7.28    0.43    0.00   -6.85  1.094
   3.203  0.745  4.41    0.67  -12.89    0.45    0.00  -12.44 1.200E-01

  10.589 32.035 10.30    0.63   -7.18    0.42    0.00   -6.75  1.082
   3.195  0.743  4.45    0.67  -12.77    0.44    0.00  -12.33 1.231E-01

  10.589 32.035 10.28    0.64   -7.09    0.42    0.00   -6.67  1.071
   3.187  0.740  4.49    0.67  -12.67    0.44    0.00  -12.23 1.263E-01

  10.589 32.035 10.25    0.64   -7.00    0.41    0.00   -6.59  1.060
   3.179  0.737  4.53    0.67  -12.56    0.43    0.00  -12.13 1.295E-01

  10.589 32.035 10.23    0.64   -6.90    0.41    0.00   -6.50  1.049
   3.171  0.735  4.57    0.68  -12.44    0.43    0.00  -12.02 1.327E-01

  10.589 32.035 10.20    0.64   -6.80    0.40    0.00   -6.40  1.039
   3.163  0.732  4.62    0.68  -12.33    0.42    0.00  -11.91 1.361E-01

  10.589 32.035 10.17    0.65   -6.72    0.40    0.00   -6.32  1.029
   3.155  0.729  4.66    0.68  -12.22    0.42    0.00  -11.81 1.394E-01

  10.589 32.035 10.15    0.65   -6.63    0.39    0.00   -6.23  1.020
   3.147  0.727  4.70    0.68  -12.11    0.41    0.00  -11.70 1.429E-01

  10.589 32.035 10.12    0.65   -6.54    0.39    0.00   -6.15  1.011
   3.139  0.724  4.74    0.69  -12.00    0.41    0.00  -11.59 1.464E-01

  10.589 32.035 10.10    0.66   -6.44    0.38    0.00   -6.06  1.002
   3.131  0.721  4.78    0.69  -11.89    0.41    0.00  -11.48 1.499E-01

  10.589 32.035 10.07    0.66   -6.35    0.38    0.00   -5.97  0.993
   3.123  0.719  4.82    0.69  -11.78    0.40    0.00  -11.38 1.535E-01

  10.589 32.035 10.05    0.66   -6.26    0.38    0.00   -5.88  0.985
   3.115  0.716  4.86    0.70  -11.67    0.40    0.00  -11.27 1.572E-01

  10.589 32.035 10.02    0.67   -6.17    0.38    0.00   -5.79  0.977
   3.107  0.714  4.90    0.70  -11.56    0.40    0.00  -11.16 1.609E-01

  10.589 32.035  9.99    0.67   -6.07    0.37    0.00   -5.70  0.970
   3.099  0.711  4.94    0.70  -11.45    0.39    0.00  -11.05 1.647E-01

  10.589 32.035  9.97    0.67   -5.97    0.37    0.00   -5.60  0.962
   3.091  0.708  4.98    0.71  -11.33    0.39    0.00  -10.94 1.686E-01

  10.589 32.035  9.94    0.68   -5.89    0.37    0.00   -5.53  0.955
   3.083  0.706  5.02    0.71  -11.23    0.39    0.00  -10.84 1.725E-01

  10.589 32.035  9.92    0.68   -5.79    0.37    0.00   -5.43  0.948
   3.075  0.703  5.06    0.72  -11.11    0.39    0.00  -10.72 1.764E-01

  10.589 32.035  9.89    0.69   -5.71    0.36    0.00   -5.34  0.942
   3.067  0.701  5.10    0.72  -11.00    0.38    0.00  -10.62 1.805E-01

  10.589 32.035  9.87    0.69   -5.62    0.36    0.00   -5.26  0.935
   3.059  0.698  5.15    0.72  -10.90    0.38    0.00  -10.52 1.846E-01

  10.589 32.035  9.84    0.70   -5.53    0.36    0.00   -5.17  0.929
   3.051  0.696  5.19    0.73  -10.79    0.38    0.00  -10.41 1.887E-01

  10.589 32.035  9.81    0.70   -5.44    0.36    0.00   -5.08  0.924
   3.043  0.693  5.23    0.73  -10.68    0.38    0.00  -10.30 1.929E-01

  10.589 32.035  9.79    0.71   -5.35    0.36    0.00   -4.99  0.918
   3.035  0.690  5.27    0.74  -10.57    0.38    0.00  -10.19 1.972E-01

  10.589 32.035  9.76    0.71   -5.26    0.36    0.00   -4.90  0.913
   3.027  0.688  5.31    0.74  -10.46    0.38    0.00  -10.08 2.015E-01

