EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   3.123  0.481  8.15    1.01   -3.52    0.43    0.00   -3.08 1.380E+00

  10.589 26.084  6.72    0.97    0.56    0.41    0.00    0.98  0.803
   3.115  0.479  8.19    1.02   -3.42    0.44    0.00   -2.98 1.393E+00

  10.589 26.084  6.70    0.98    0.64    0.42    0.00    1.06  0.804
   3.107  0.477  8.22    1.03   -3.32    0.44    0.00   -2.88 1.407E+00

  10.589 26.084  6.68    0.99    0.74    0.42    0.00    1.16  0.804
   3.099  0.476  8.25    1.04   -3.21    0.45    0.00   -2.76 1.420E+00

  10.589 26.084  6.67    1.00    0.82    0.43    0.00    1.25  0.805
   3.091  0.474  8.28    1.05   -3.11    0.46    0.00   -2.66 1.434E+00

  10.589 26.084  6.65    1.01    0.88    0.43    0.00    1.31  0.805
   3.083  0.472  8.32    1.06   -3.03    0.46    0.00   -2.57 1.447E+00

  10.589 26.084  6.63    1.02    0.96    0.44    0.00    1.40  0.807
   3.075  0.470  8.35    1.07   -2.93    0.47    0.00   -2.47 1.461E+00

  10.589 26.084  6.62    1.02    1.04    0.45    0.00    1.49  0.807
   3.067  0.469  8.38    1.08   -2.84    0.47    0.00   -2.36 1.475E+00

  10.589 26.084  6.60    1.03    1.12    0.45    0.00    1.57  0.807
   3.059  0.467  8.41    1.09   -2.74    0.48    0.00   -2.27 1.488E+00

  10.589 26.084  6.58    1.04    1.20    0.46    0.00    1.66  0.808
   3.051  0.465  8.44    1.10   -2.64    0.48    0.00   -2.16 1.502E+00

  10.589 26.084  6.56    1.05    1.28    0.46    0.00    1.74  0.808
   3.043  0.464  8.48    1.11   -2.54    0.49    0.00   -2.05 1.516E+00

  10.589 26.084  6.55    1.06    1.36    0.47    0.00    1.83  0.809
   3.035  0.462  8.51    1.12   -2.45    0.50    0.00   -1.95 1.530E+00

  10.589 26.084  6.53    1.07    1.45    0.47    0.00    1.92  0.810
   3.027  0.460  8.54    1.13   -2.34    0.50    0.00   -1.84 1.544E+00

  10.589 26.084  6.51    1.08    1.53    0.48    0.00    2.01  0.811
   3.019  0.458  8.57    1.14   -2.25    0.51    0.00   -1.74 1.558E+00

