EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 21.527  4.40    1.99    8.27    1.32    0.02    9.61  0.966
   2.979  0.308 10.76    2.17    6.10    1.42    0.02    7.54 4.282E+00

  10.589 21.527  4.39    2.01    8.36    1.33    0.02    9.71  0.966
   2.971  0.307 10.79    2.20    6.21    1.44    0.02    7.66 4.299E+00

  10.589 21.527  4.38    2.03    8.44    1.35    0.02    9.81  0.967
   2.963  0.306 10.81    2.22    6.31    1.46    0.02    7.79 4.317E+00

  10.589 21.527  4.37    2.05    8.55    1.37    0.02    9.93  0.966
   2.955  0.305 10.84    2.24    6.43    1.48    0.02    7.93 4.334E+00

  10.589 21.607  4.80    1.46    5.64    0.87    0.01    6.52  0.958
   3.227  0.348  9.89    1.57    2.87    0.94    0.01    3.82 3.662E+00

  10.589 21.607  4.79    1.47    5.71    0.88    0.01    6.60  0.959
   3.219  0.346  9.92    1.59    2.96    0.95    0.01    3.92 3.679E+00

  10.589 21.607  4.78    1.48    5.78    0.90    0.01    6.68  0.960
   3.211  0.345  9.95    1.61    3.05    0.96    0.01    4.02 3.696E+00

  10.589 21.607  4.77    1.50    5.86    0.91    0.01    6.77  0.960
   3.203  0.344  9.97    1.62    3.15    0.98    0.01    4.13 3.713E+00

  10.589 21.607  4.75    1.51    5.94    0.92    0.01    6.86  0.960
