EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.527  4.41    1.78    7.62    1.07    0.02    8.71  0.867
   2.987  0.309 10.73    1.93    5.07    1.14    0.02    6.23 5.914E+00

  10.589 21.527  4.40    1.79    7.70    1.08    0.02    8.81  0.867
   2.979  0.308 10.76    1.94    5.18    1.15    0.02    6.35 5.940E+00

  10.589 21.527  4.39    1.81    7.78    1.10    0.02    8.90  0.868
   2.971  0.307 10.79    1.96    5.27    1.17    0.02    6.46 5.966E+00

  10.589 21.527  4.38    1.83    7.86    1.11    0.02    9.00  0.868
   2.963  0.306 10.81    1.98    5.37    1.18    0.02    6.57 5.992E+00

  10.589 21.527  4.37    1.85    7.94    1.13    0.03    9.10  0.868
   2.955  0.305 10.84    2.00    5.47    1.20    0.03    6.69 6.018E+00

  10.589 21.607  4.80    1.34    5.14    0.73    0.01    5.87  0.856
   3.227  0.348  9.89    1.43    2.05    0.77    0.01    2.83 5.030E+00

  10.589 21.607  4.79    1.35    5.21    0.74    0.01    5.96  0.857
   3.219  0.346  9.92    1.45    2.14    0.78    0.01    2.93 5.055E+00

  10.589 21.607  4.78    1.36    5.29    0.74    0.01    6.05  0.857
   3.211  0.345  9.95    1.46    2.24    0.79    0.01    3.04 5.080E+00

  10.589 21.607  4.77    1.37    5.37    0.75    0.01    6.13  0.857
   3.203  0.344  9.97    1.47    2.33    0.80    0.01    3.14 5.105E+00

  10.589 21.607  4.75    1.39    5.44    0.76    0.01    6.22  0.858
   3.195  0.343 10.00    1.49    2.42    0.81    0.01    3.24 5.130E+00

  10.589 21.607  4.74    1.40    5.52    0.77    0.01    6.30  0.858
   3.187  0.341 10.03    1.50    2.51    0.82    0.01    3.34 5.154E+00

  10.589 21.607  4.73    1.41    5.59    0.78    0.01    6.39  0.859
   3.179  0.340 10.06    1.52    2.61    0.83    0.01    3.45 5.179E+00

  10.589 21.607  4.72    1.42    5.67    0.79    0.01    6.48  0.859
   3.171  0.339 10.08    1.53    2.70    0.84    0.01    3.55 5.204E+00

  10.589 21.607  4.71    1.44    5.75    0.80    0.01    6.56  0.859
   3.163  0.338 10.11    1.54    2.80    0.85    0.01    3.66 5.229E+00

  10.589 21.607  4.69    1.45    5.82    0.81    0.01    6.65  0.860
   3.155  0.337 10.14    1.56    2.89    0.86    0.01    3.76 5.254E+00

  10.589 21.607  4.68    1.46    5.90    0.82    0.01    6.73  0.860
   3.147  0.335 10.16    1.57    2.98    0.87    0.01    3.87 5.279E+00

  10.589 21.607  4.67    1.48    5.98    0.83    0.01    6.82  0.860
   3.139  0.334 10.19    1.59    3.08    0.88    0.01    3.97 5.305E+00

  10.589 21.607  4.66    1.49    6.06    0.84    0.01    6.91  0.861
   3.131  0.333 10.22    1.60    3.18    0.89    0.01    4.08 5.330E+00

  10.589 21.607  4.65    1.50    6.14    0.85    0.01    7.01  0.861
   3.123  0.332 10.24    1.62    3.27    0.90    0.01    4.19 5.355E+00

  10.589 21.607  4.64    1.52    6.23    0.86    0.01    7.10  0.862
   3.115  0.330 10.27    1.63    3.38    0.91    0.01    4.31 5.380E+00

  10.589 21.607  4.62    1.53    6.30    0.87    0.01    7.19  0.862
   3.107  0.329 10.30    1.65    3.47    0.93    0.01    4.41 5.405E+00

  10.589 21.607  4.61    1.55    6.38    0.88    0.01    7.27  0.862
   3.099  0.328 10.32    1.67    3.56    0.94    0.01    4.52 5.431E+00

  10.589 21.607  4.60    1.56    6.47    0.90    0.02    7.38  0.863
   3.091  0.327 10.35    1.68    3.67    0.95    0.02    4.64 5.456E+00

  10.589 21.607  4.59    1.57    6.55    0.91    0.02    7.47  0.863
   3.083  0.326 10.38    1.70    3.77    0.96    0.02    4.74 5.481E+00

  10.589 21.607  4.58    1.59    6.62    0.92    0.02    7.56  0.863
   3.075  0.325 10.40    1.71    3.86    0.97    0.02    4.85 5.507E+00

  10.589 21.607  4.56    1.60    6.70    0.93    0.02    7.65  0.864
   3.067  0.323 10.43    1.73    3.96    0.99    0.02    4.96 5.532E+00

  10.589 21.607  4.55    1.62    6.78    0.94    0.02    7.74  0.864
   3.059  0.322 10.46    1.75    4.06    1.00    0.02    5.07 5.558E+00

  10.589 21.607  4.54    1.63    6.86    0.95    0.02    7.83  0.864
   3.051  0.321 10.49    1.76    4.15    1.01    0.02    5.18 5.583E+00

  10.589 21.607  4.53    1.65    6.94    0.97    0.02    7.92  0.865
   3.043  0.320 10.51    1.78    4.25    1.02    0.02    5.29 5.609E+00

  10.589 21.607  4.52    1.66    7.00    0.98    0.02    8.00  0.865
   3.035  0.319 10.54    1.80    4.33    1.04    0.02    5.39 5.634E+00

  10.589 21.607  4.50    1.68    7.08    0.99    0.02    8.09  0.865
   3.027  0.317 10.57    1.82    4.43    1.05    0.02    5.50 5.660E+00

  10.589 21.607  4.49    1.70    7.17    1.00    0.02    8.20  0.865
   3.019  0.316 10.59    1.83    4.54    1.06    0.02    5.62 5.685E+00

  10.589 21.607  4.48    1.71    7.25    1.02    0.02    8.29  0.866
   3.011  0.315 10.62    1.85    4.63    1.08    0.02    5.73 5.711E+00

  10.589 21.607  4.47    1.73    7.35    1.03    0.02    8.40  0.866
   3.003  0.314 10.65    1.87    4.75    1.09    0.02    5.86 5.737E+00

  10.589 21.607  4.46    1.75    7.43    1.04    0.02    8.49  0.866
   2.995  0.313 10.67    1.89    4.85    1.11    0.02    5.97 5.763E+00

  10.589 21.607  4.44    1.76    7.50    1.06    0.02    8.58  0.866
   2.987  0.312 10.70    1.91    4.94    1.12    0.02    6.08 5.788E+00

  10.589 21.607  4.43    1.78    7.59    1.07    0.02    8.68  0.867
   2.979  0.310 10.73    1.93    5.04    1.13    0.02    6.20 5.814E+00

