EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
  10.589 23.911  5.43    1.58    5.01    0.79    0.00    5.81  0.838
   2.987  0.381  9.72    1.69    1.81    0.84    0.00    2.66 3.654E+00

  10.589 23.911  5.41    1.60    5.09    0.81    0.00    5.90  0.838
   2.979  0.379  9.75    1.71    1.91    0.85    0.00    2.77 3.676E+00

  10.589 23.911  5.40    1.61    5.18    0.82    0.00    6.00  0.838
   2.971  0.378  9.78    1.73    2.01    0.87    0.00    2.88 3.698E+00

  10.589 23.911  5.39    1.63    5.27    0.83    0.01    6.10  0.838
   2.963  0.376  9.81    1.74    2.12    0.88    0.01    3.00 3.719E+00

  10.589 23.911  5.37    1.65    5.34    0.84    0.01    6.18  0.838
   2.955  0.375  9.84    1.76    2.21    0.89    0.01    3.11 3.741E+00

  10.589 23.991  5.90    1.16    2.47    0.54    0.00    3.01  0.833
   3.227  0.427  8.79    1.23   -1.31    0.57    0.00   -0.74 2.946E+00

  10.589 23.991  5.89    1.18    2.56    0.54    0.00    3.10  0.833
   3.219  0.426  8.82    1.25   -1.20    0.57    0.00   -0.63 2.967E+00

  10.589 23.991  5.87    1.19    2.63    0.55    0.00    3.18  0.833
   3.211  0.424  8.85    1.26   -1.11    0.58    0.00   -0.53 2.987E+00

  10.589 23.991  5.86    1.20    2.70    0.55    0.00    3.26  0.833
   3.203  0.423  8.88    1.27   -1.02    0.59    0.00   -0.43 3.008E+00

  10.589 23.991  5.85    1.21    2.79    0.56    0.00    3.35  0.834
   3.195  0.421  8.91    1.28   -0.92    0.60    0.00   -0.32 3.028E+00

  10.589 23.991  5.83    1.22    2.86    0.57    0.00    3.44  0.834
   3.187  0.420  8.94    1.30   -0.83    0.60    0.00   -0.22 3.049E+00

  10.589 23.991  5.82    1.23    2.94    0.58    0.00    3.52  0.834
   3.179  0.418  8.97    1.31   -0.73    0.61    0.00   -0.12 3.069E+00

  10.589 23.991  5.80    1.25    3.02    0.58    0.00    3.61  0.834
   3.171  0.417  9.00    1.32   -0.63    0.62    0.00   -0.01 3.090E+00

  10.589 23.991  5.79    1.26    3.10    0.59    0.00    3.69  0.834
   3.163  0.415  9.03    1.33   -0.54    0.63    0.00    0.09 3.110E+00

  10.589 23.991  5.77    1.27    3.17    0.60    0.00    3.77  0.834
   3.155  0.414  9.06    1.35   -0.45    0.63    0.00    0.19 3.131E+00

  10.589 23.991  5.76    1.28    3.25    0.60    0.00    3.86  0.835
   3.147  0.412  9.09    1.36   -0.35    0.64    0.00    0.30 3.152E+00

  10.589 23.991  5.74    1.29    3.34    0.61    0.00    3.95  0.835
   3.139  0.411  9.12    1.38   -0.25    0.65    0.00    0.41 3.173E+00

  10.589 23.991  5.73    1.31    3.42    0.62    0.00    4.04  0.835
   3.131  0.409  9.15    1.39   -0.15    0.66    0.00    0.51 3.193E+00

  10.589 23.991  5.71    1.32    3.50    0.63    0.00    4.13  0.835
   3.123  0.408  9.18    1.40   -0.04    0.67    0.00    0.63 3.214E+00

  10.589 23.991  5.70    1.33    3.58    0.64    0.00    4.22  0.835
   3.115  0.406  9.21    1.42    0.06    0.67    0.00    0.74 3.235E+00

  10.589 23.991  5.68    1.35    3.68    0.64    0.00    4.32  0.835
   3.107  0.405  9.24    1.43    0.17    0.68    0.00    0.85 3.256E+00

  10.589 23.991  5.67    1.36    3.76    0.65    0.00    4.41  0.835
   3.099  0.403  9.27    1.45    0.27    0.69    0.00    0.96 3.277E+00

  10.589 23.991  5.66    1.37    3.83    0.66    0.00    4.49  0.836
   3.091  0.402  9.30    1.46    0.36    0.70    0.00    1.06 3.298E+00

  10.589 23.991  5.64    1.39    3.91    0.67    0.00    4.58  0.836
   3.083  0.400  9.33    1.48    0.46    0.71    0.00    1.17 3.319E+00

  10.589 23.991  5.63    1.40    3.99    0.68    0.00    4.67  0.836
   3.075  0.399  9.35    1.49    0.56    0.72    0.00    1.28 3.340E+00

  10.589 23.991  5.61    1.41    4.08    0.69    0.00    4.76  0.836
   3.067  0.398  9.38    1.51    0.66    0.73    0.00    1.39 3.361E+00

  10.589 23.991  5.60    1.43    4.15    0.70    0.00    4.85  0.836
   3.059  0.396  9.41    1.52    0.75    0.74    0.00    1.50 3.382E+00

  10.589 23.991  5.58    1.44    4.25    0.70    0.00    4.96  0.836
   3.051  0.395  9.44    1.54    0.87    0.75    0.00    1.62 3.404E+00

  10.589 23.991  5.57    1.46    4.33    0.71    0.00    5.05  0.836
   3.043  0.393  9.47    1.55    0.97    0.76    0.00    1.73 3.425E+00

  10.589 23.991  5.55    1.47    4.41    0.72    0.00    5.14  0.837
   3.035  0.392  9.50    1.57    1.07    0.77    0.00    1.85 3.446E+00

  10.589 23.991  5.54    1.49    4.49    0.73    0.00    5.23  0.834
   3.027  0.390  9.53    1.59    1.17    0.77    0.00    1.95 3.467E+00

  10.589 23.991  5.52    1.50    4.57    0.74    0.00    5.32  0.837
   3.019  0.389  9.56    1.60    1.27    0.79    0.00    2.06 3.489E+00

  10.589 23.991  5.51    1.52    4.65    0.75    0.00    5.41  0.837
   3.011  0.387  9.59    1.62    1.37    0.80    0.00    2.17 3.510E+00

  10.589 23.991  5.49    1.53    4.74    0.76    0.00    5.51  0.837
