EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin13_2nd                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
  10.589 30.132  9.24    0.66   -5.14    0.32    0.00   -4.82  0.907
   3.227  0.668  5.46    0.69  -10.40    0.34    0.00  -10.06 2.957E-01

  10.589 30.132  9.21    0.67   -5.06    0.32    0.00   -4.73  0.903
   3.219  0.666  5.50    0.70  -10.30    0.34    0.00   -9.96 3.014E-01

  10.589 30.132  9.19    0.67   -4.96    0.32    0.00   -4.64  0.899
   3.211  0.664  5.54    0.70  -10.19    0.34    0.00   -9.85 3.071E-01

  10.589 30.132  9.17    0.68   -4.88    0.32    0.00   -4.56  0.894
   3.203  0.661  5.57    0.71  -10.09    0.34    0.00   -9.75 3.129E-01

  10.589 30.132  9.14    0.68   -4.80    0.32    0.00   -4.47  0.890
   3.195  0.659  5.61    0.71   -9.98    0.34    0.00   -9.64 3.188E-01

  10.589 30.132  9.12    0.69   -4.71    0.32    0.00   -4.39  0.887
   3.187  0.657  5.65    0.72   -9.89    0.34    0.00   -9.54 3.248E-01

  10.589 30.132  9.10    0.69   -4.63    0.32    0.00   -4.31  0.883
   3.179  0.654  5.69    0.72   -9.78    0.34    0.00   -9.44 3.308E-01

  10.589 30.132  9.07    0.70   -4.54    0.32    0.00   -4.22  0.879
   3.171  0.652  5.73    0.73   -9.68    0.34    0.00   -9.33 3.369E-01

  10.589 30.132  9.05    0.70   -4.46    0.32    0.00   -4.13  0.876
   3.163  0.650  5.76    0.73   -9.57    0.34    0.00   -9.23 3.431E-01

  10.589 30.132  9.03    0.71   -4.37    0.32    0.00   -4.05  0.873
   3.155  0.647  5.80    0.74   -9.46    0.34    0.00   -9.12 3.493E-01

  10.589 30.132  9.01    0.71   -4.28    0.32    0.00   -3.96  0.870
   3.147  0.645  5.84    0.74   -9.36    0.34    0.00   -9.02 3.556E-01

  10.589 30.132  8.98    0.72   -4.20    0.33    0.00   -3.87  0.867
   3.139  0.643  5.88    0.75   -9.26    0.34    0.00   -8.91 3.619E-01

  10.589 30.132  8.96    0.72   -4.11    0.33    0.00   -3.79  0.864
   3.131  0.640  5.92    0.76   -9.15    0.35    0.00   -8.81 3.684E-01

  10.589 30.132  8.94    0.73   -4.03    0.33    0.00   -3.71  0.861
   3.123  0.638  5.95    0.76   -9.05    0.35    0.00   -8.71 3.749E-01

  10.589 30.132  8.91    0.73   -3.95    0.33    0.00   -3.62  0.859
   3.115  0.636  5.99    0.77   -8.95    0.35    0.00   -8.60 3.815E-01

  10.589 30.132  8.89    0.74   -3.86    0.33    0.00   -3.53  0.856
   3.107  0.633  6.03    0.77   -8.84    0.35    0.00   -8.49 3.881E-01

  10.589 30.132  8.87    0.75   -3.77    0.33    0.00   -3.44  0.854
   3.099  0.631  6.07    0.78   -8.73    0.35    0.00   -8.38 3.948E-01

  10.589 30.132  8.85    0.75   -3.69    0.33    0.00   -3.36  0.851
   3.091  0.629  6.10    0.79   -8.63    0.35    0.00   -8.28 4.016E-01

  10.589 30.132  8.82    0.76   -3.60    0.33    0.00   -3.27  0.849
   3.083  0.626  6.14    0.79   -8.53    0.35    0.00   -8.18 4.084E-01

  10.589 30.132  8.80    0.76   -3.48    0.33    0.00   -3.14  0.847
   3.075  0.624  6.18    0.80   -8.39    0.35    0.00   -8.03 4.154E-01

  10.589 30.132  8.78    0.77   -3.43    0.34    0.00   -3.09  0.845
   3.067  0.622  6.22    0.81   -8.31    0.36    0.00   -7.96 4.224E-01

  10.589 30.132  8.75    0.78   -3.34    0.34    0.00   -3.01  0.843
   3.059  0.620  6.26    0.81   -8.21    0.36    0.00   -7.86 4.294E-01

  10.589 30.132  8.73    0.79   -3.26    0.34    0.00   -2.92  0.841
   3.051  0.617  6.29    0.82   -8.11    0.36    0.00   -7.75 4.365E-01

  10.589 30.132  8.71    0.79   -3.17    0.34    0.00   -2.83  0.839
   3.043  0.615  6.33    0.83   -8.00    0.36    0.00   -7.64 4.437E-01

  10.589 30.132  8.69    0.80   -3.09    0.34    0.00   -2.74  0.838
   3.035  0.613  6.37    0.84   -7.90    0.36    0.00   -7.54 4.510E-01

  10.589 30.132  8.66    0.81   -3.00    0.34    0.00   -2.66  0.836
   3.027  0.610  6.41    0.84   -7.80    0.37    0.00   -7.43 4.584E-01

  10.589 30.132  8.64    0.81   -2.91    0.35    0.00   -2.56  0.834
   3.019  0.608  6.45    0.85   -7.68    0.37    0.00   -7.31 4.658E-01

  10.589 30.132  8.62    0.82   -2.83    0.35    0.00   -2.48  0.833
   3.011  0.606  6.48    0.86   -7.58    0.37    0.00   -7.21 4.732E-01

  10.589 30.132  8.59    0.83   -2.74    0.35    0.00   -2.39  0.831
   3.003  0.604  6.52    0.87   -7.48    0.37    0.00   -7.10 4.808E-01

  10.589 30.132  8.57    0.84   -2.64    0.35    0.00   -2.29  0.830
   2.995  0.601  6.56    0.88   -7.36    0.38    0.00   -6.98 4.884E-01

  10.589 30.132  8.55    0.85   -2.55    0.36    0.00   -2.20  0.829
   2.987  0.599  6.60    0.88   -7.25    0.38    0.00   -6.87 4.961E-01

  10.589 30.132  8.53    0.85   -2.48    0.36    0.00   -2.12  0.825
   2.979  0.597  6.64    0.89   -7.16    0.38    0.00   -6.78 5.039E-01

  10.589 30.132  8.50    0.86   -2.39    0.36    0.00   -2.03  0.824
