EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 26.244  7.04    0.87   -0.36    0.41    0.00    0.05  0.921
   3.227  0.510  7.65    0.92   -4.38    0.44    0.00   -3.94 8.678E-01

  10.589 26.244  7.03    0.88   -0.28    0.42    0.00    0.14  0.923
   3.219  0.508  7.68    0.93   -4.28    0.45    0.00   -3.83 8.766E-01

  10.589 26.244  7.01    0.88   -0.20    0.42    0.00    0.22  0.922
   3.211  0.506  7.72    0.94   -4.19    0.45    0.00   -3.74 8.854E-01

  10.589 26.244  6.99    0.89   -0.12    0.43    0.00    0.31  0.923
   3.203  0.504  7.75    0.94   -4.09    0.46    0.00   -3.63 8.943E-01

  10.589 26.244  6.97    0.90   -0.04    0.43    0.00    0.39  0.925
   3.195  0.503  7.78    0.95   -4.00    0.46    0.00   -3.53 9.032E-01

  10.589 26.244  6.96    0.91    0.03    0.43    0.00    0.47  0.923
   3.187  0.501  7.81    0.96   -3.90    0.47    0.00   -3.43 9.122E-01

  10.589 26.244  6.94    0.92    0.12    0.44    0.00    0.56  0.923
   3.179  0.499  7.85    0.97   -3.80    0.47    0.00   -3.32 9.212E-01

  10.589 26.244  6.92    0.93    0.20    0.44    0.00    0.64  0.925
   3.171  0.497  7.88    0.98   -3.70    0.48    0.00   -3.22 9.302E-01

  10.589 26.244  6.91    0.93    0.27    0.45    0.00    0.73  0.925
   3.163  0.496  7.91    0.99   -3.60    0.48    0.00   -3.12 9.393E-01

  10.589 26.244  6.89    0.94    0.36    0.45    0.00    0.81  0.925
   3.155  0.494  7.94    1.00   -3.50    0.49    0.00   -3.01 9.484E-01

  10.589 26.244  6.87    0.95    0.44    0.46    0.00    0.90  0.923
   3.147  0.492  7.98    1.01   -3.41    0.49    0.00   -2.91 9.576E-01

  10.589 26.244  6.85    0.96    0.52    0.47    0.00    0.99  0.926
   3.139  0.490  8.01    1.02   -3.31    0.50    0.00   -2.80 9.668E-01

  10.589 26.244  6.84    0.97    0.60    0.47    0.00    1.07  0.926
   3.131  0.488  8.04    1.03   -3.21    0.51    0.00   -2.70 9.760E-01

  10.589 26.244  6.82    0.98    0.68    0.48    0.00    1.15  0.927
   3.123  0.487  8.07    1.04   -3.11    0.51    0.00   -2.60 9.853E-01

  10.589 26.244  6.80    0.99    0.76    0.48    0.00    1.25  0.927
   3.115  0.485  8.11    1.05   -3.01    0.52    0.00   -2.49 9.946E-01

  10.589 26.244  6.78    1.00    0.84    0.49    0.00    1.33  0.928
   3.107  0.483  8.14    1.06   -2.91    0.52    0.00   -2.38 1.004E+00

  10.589 26.244  6.77    1.01    0.92    0.49    0.00    1.41  0.928
   3.099  0.481  8.17    1.07   -2.82    0.53    0.00   -2.29 1.013E+00

  10.589 26.244  6.75    1.02    1.00    0.50    0.00    1.50  0.929
   3.091  0.480  8.20    1.08   -2.72    0.54    0.00   -2.18 1.023E+00

  10.589 26.244  6.73    1.03    1.08    0.51    0.00    1.59  0.930
   3.083  0.478  8.24    1.09   -2.62    0.54    0.00   -2.07 1.032E+00

  10.589 26.244  6.71    1.04    1.16    0.51    0.00    1.67  0.930
   3.075  0.476  8.27    1.10   -2.52    0.55    0.00   -1.97 1.042E+00

  10.589 26.244  6.70    1.05    1.24    0.52    0.00    1.76  0.931
   3.067  0.474  8.30    1.11   -2.42    0.56    0.00   -1.86 1.051E+00

  10.589 26.244  6.68    1.06    1.32    0.52    0.00    1.85  0.930
   3.059  0.473  8.33    1.12   -2.32    0.56    0.00   -1.75 1.061E+00

