EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   2.976  0.211 12.16    3.48   12.86    2.22    0.05   15.13 6.788E+01

  10.590 17.872  3.04    3.26   13.03    2.10    0.04   15.18  0.789
   2.976  0.213 12.13    3.43   12.63    2.19    0.04   14.86 6.614E+01

  10.590 17.972  3.08    3.21   12.87    2.07    0.04   14.98  0.790
   2.976  0.215 12.09    3.38   12.45    2.15    0.04   14.64 6.445E+01

  10.590 18.072  3.11    3.17   12.78    2.03    0.04   14.85  0.791
   2.976  0.218 12.06    3.33   12.34    2.11    0.04   14.49 6.281E+01

  10.590 18.172  3.14    3.12   12.57    2.00    0.04   14.60  0.792
   2.976  0.220 12.02    3.29   12.11    2.07    0.04   14.22 6.121E+01

  10.590 18.272  3.18    3.08   12.41    1.96    0.03   14.41  0.793
   2.976  0.222 11.99    3.24   11.93    2.04    0.03   14.00 5.965E+01

  10.590 18.372  3.21    3.03   12.25    1.93    0.03   14.21  0.794
   2.976  0.225 11.96    3.19   11.75    2.00    0.03   13.78 5.814E+01

  10.590 18.472  3.25    2.99   12.11    1.90    0.03   14.03  0.795
   2.976  0.227 11.92    3.15   11.58    1.97    0.03   13.57 5.666E+01

  10.590 18.572  3.28    2.95   11.95    1.86    0.03   13.84  0.796
   2.976  0.230 11.89    3.10   11.40    1.93    0.03   13.36 5.522E+01

  10.590 18.672  3.32    2.91   11.80    1.83    0.02   13.65  0.797
   2.976  0.232 11.85    3.06   11.23    1.90    0.02   13.16 5.382E+01

  10.590 18.772  3.35    2.87   11.66    1.80    0.02   13.48  0.798
   2.976  0.235 11.82    3.01   11.07    1.87    0.02   12.96 5.245E+01

  10.590 18.872  3.39    2.83   11.50    1.77    0.02   13.29  0.799
   2.976  0.237 11.78    2.97   10.89    1.83    0.02   12.74 5.112E+01

  10.590 18.972  3.42    2.79   11.35    1.74    0.02   13.10  0.802
   2.976  0.240 11.74    2.93   10.72    1.80    0.02   12.54 4.982E+01

  10.590 19.072  3.46    2.75   11.19    1.71    0.02   12.91  0.801
   2.976  0.242 11.71    2.89   10.54    1.77    0.02   12.33 4.856E+01

  10.590 19.172  3.50    2.71   11.04    1.68    0.01   12.73  0.801
   2.976  0.245 11.67    2.85   10.37    1.74    0.01   12.12 4.733E+01

  10.590 19.272  3.53    2.68   10.89    1.65    0.01   12.55  0.801
   2.976  0.247 11.64    2.81   10.20    1.71    0.01   11.92 4.613E+01

  10.590 19.372  3.57    2.64   10.75    1.62    0.01   12.38  0.801
   2.976  0.250 11.60    2.77   10.03    1.68    0.01   11.72 4.496E+01

  10.590 19.472  3.61    2.60   10.59    1.59    0.01   12.19  0.802
   2.976  0.252 11.56    2.73    9.85    1.65    0.01   11.51 4.382E+01

  10.590 19.572  3.64    2.57   10.44    1.56    0.01   12.01  0.802
   2.976  0.255 11.53    2.69    9.69    1.62    0.01   11.31 4.270E+01

  10.590 19.672  3.68    2.53   10.29    1.53    0.01   11.83  0.802
   2.976  0.257 11.49    2.66    9.51    1.59    0.01   11.11 4.162E+01

  10.590 19.772  3.72    2.50   10.13    1.50    0.01   11.64  0.803
   2.976  0.260 11.45    2.62    9.34    1.56    0.01   10.90 4.056E+01

  10.590 19.872  3.75    2.47   10.01    1.48    0.01   11.49  0.803
   2.976  0.263 11.42    2.58    9.19    1.53    0.01   10.73 3.953E+01

  10.590 19.972  3.79    2.43    9.85    1.45    0.01   11.30  0.803
   2.976  0.265 11.38    2.55    9.01    1.50    0.01   10.52 3.852E+01

  10.590 20.072  3.83    2.40    9.70    1.43    0.01   11.13  0.803
   2.976  0.268 11.34    2.51    8.85    1.48    0.01   10.33 3.754E+01

  10.590 15.072  2.17    4.93   17.40    3.37    0.29   21.07  0.750
   2.981  0.152 12.99    5.23   17.63    3.51    0.29   21.44 1.389E+02

  10.590 15.172  2.20    4.85   17.24    3.31    0.28   20.83  0.752
   2.981  0.154 12.96    5.15   17.45    3.46    0.28   21.18 1.352E+02

  10.590 15.272  2.23    4.78   17.09    3.26    0.26   20.60  0.753
   2.981  0.156 12.93    5.07   17.27    3.40    0.26   20.93 1.315E+02

  10.590 15.372  2.26    4.70   16.93    3.21    0.24   20.38  0.755
   2.981  0.158 12.90    4.99   17.08    3.34    0.25   20.67 1.280E+02

  10.590 15.472  2.29    4.63   16.76    3.15    0.23   20.14  0.757
   2.981  0.160 12.87    4.91   16.89    3.28    0.23   20.41 1.246E+02

  10.590 15.572  2.32    4.56   16.60    3.10    0.22   19.92  0.758
   2.981  0.162 12.84    4.84   16.72    3.23    0.22   20.16 1.212E+02

  10.590 15.672  2.35    4.49   16.44    3.05    0.20   19.69  0.760
   2.981  0.164 12.81    4.76   16.53    3.17    0.20   19.91 1.180E+02

  10.590 15.772  2.38    4.43   16.32    3.00    0.19   19.51  0.761
   2.981  0.166 12.78    4.69   16.39    3.12    0.19   19.70 1.148E+02

  10.590 15.872  2.41    4.36   16.13    2.95    0.18   19.26  0.763
   2.981  0.169 12.75    4.62   16.17    3.07    0.18   19.42 1.118E+02

  10.590 15.972  2.44    4.29   15.98    2.90    0.17   19.05  0.764
   2.981  0.171 12.72    4.55   16.00    3.02    0.17   19.19 1.088E+02

  10.590 16.072  2.47    4.23   15.81    2.85    0.16   18.81  0.766
   2.981  0.173 12.69    4.48   15.81    2.96    0.16   18.93 1.060E+02

  10.590 16.172  2.50    4.17   15.64    2.80    0.15   18.59  0.767
   2.981  0.175 12.66    4.41   15.62    2.91    0.15   18.68 1.032E+02

  10.590 16.272  2.53    4.10   15.50    2.75    0.14   18.39  0.769
   2.981  0.177 12.63    4.34   15.45    2.86    0.14   18.45 1.005E+02

  10.590 16.372  2.56    4.04   15.33    2.71    0.13   18.17  0.770
   2.981  0.179 12.60    4.28   15.26    2.82    0.13   18.21 9.782E+01

