!iexp    x       qsq      rat     drat(frac)  norm(frac)
  1.  0.4470    6.691    0.7643    0.0288    0.0050
  1.  0.3930    6.328    0.7867    0.0298    0.0050
  1.  0.3410    5.931    0.8075    0.0298    0.0050
  1.  0.2930    5.498    0.8248    0.0298    0.0050
  1.  0.2480    5.032    0.8496    0.0298    0.0050
  1.  0.2150    4.634    0.9116    0.0308    0.0050
  1.  0.1850    4.219    0.9533    0.0308    0.0050
  1.  0.1570    3.804    0.8883    0.0317    0.0050
  1.  0.1310    3.355    0.9870    0.0327    0.0050
  1.  0.1070    2.888    0.9156    0.0298    0.0050
  1.  0.0830    2.386    0.9429    0.0347    0.0050
  2.  0.3380    1.173    0.8576    0.0079    0.0000
  2.  0.2920    1.102    0.8541    0.0079    0.0000
  2.  0.2600    1.043    0.8576    0.0089    0.0000
  2.  0.2350    0.994    0.8844    0.0159    0.0000
  2.  0.1880    0.884    0.8819    0.0169    0.0000
  2.  0.1500    0.773    0.9116    0.0169    0.0000
  2.  0.1180    0.663    0.8988    0.0179    0.0000
  2.  0.5230    2.517    0.7976    0.0139    0.0000
  2.  0.4860    2.444    0.7782    0.0198    0.0000
  2.  0.4100    2.269    0.7996    0.0159    0.0000
  2.  0.3550    2.121    0.8139    0.0159    0.0000
  2.  0.2990    1.945    0.8442    0.0159    0.0000
  2.  0.2460    1.744    0.8635    0.0179    0.0000
  2.  0.2030    1.550    0.8829    0.0159    0.0000
  2.  0.1790    1.433    0.9116    0.0169    0.0000
  2.  0.1570    1.309    0.8784    0.0169    0.0000
  2.  0.1020    0.958    0.9449    0.0248    0.0000
  2.  0.7420    6.115    0.7906    0.0486    0.0000
  2.  0.6730    5.862    0.7579    0.0486    0.0000
  2.  0.6100    5.605    0.7385    0.0436    0.0000
  2.  0.5550    5.352    0.7331    0.0367    0.0000
  2.  0.4710    4.919    0.7579    0.0169    0.0000
  2.  0.4030    4.507    0.7842    0.0149    0.0000
  2.  0.3440    4.102    0.7931    0.0169    0.0000
  2.  0.3000    3.771    0.8313    0.0149    0.0000
  2.  0.2670    3.486    0.8427    0.0179    0.0000
  2.  0.2410    3.254    0.8164    0.0258    0.0000
  2.  0.2110    2.961    0.8496    0.0169    0.0000
  2.  0.1900    2.740    0.8740    0.0228    0.0000
  2.  0.1720    2.546    0.8849    0.0278    0.0000
  2.  0.1560    2.362    0.8779    0.0238    0.0000
  2.  0.1410    2.178    0.8611    0.0456    0.0000
  2.  0.1290    2.036    0.8943    0.0387    0.0000
  2.  0.1130    1.827    0.8908    0.0367    0.0000
  2.  0.0910    1.526    0.9206    0.0466    0.0000
  2.  0.5860    7.263    0.7256    0.0288    0.0000
  2.  0.4280    6.075    0.7996    0.0308    0.0000
  2.  0.3210    5.061    0.8005    0.0337    0.0000
  2.  0.2360    4.070    0.8278    0.0278    0.0000
  2.  0.2010    3.615    0.8620    0.0317    0.0000
  2.  0.1790    3.302    0.8645    0.0317    0.0000
  2.  0.1570    2.982    0.8581    0.0357    0.0000
  2.  0.1430    2.762    0.8789    0.0367    0.0000
  2.  0.1300    2.542    0.9037    0.0427    0.0000
  2.  0.1160    2.316    0.9102    0.0446    0.0000
  2.  0.1060    2.144    0.8968    0.0536    0.0000
  2.  0.0960    1.971    0.8779    0.0565    0.0000
  2.  0.0790    1.660    0.8680    0.0506    0.0000
  2.  0.7710    9.147    0.7569    0.0784    0.0000
  2.  0.6640    8.494    0.6632    0.0476    0.0000
  2.  0.5430    7.623    0.7802    0.0238    0.0000
  2.  0.4720    7.026    0.7772    0.0188    0.0000
  2.  0.4040    6.390    0.7872    0.0198    0.0000
  2.  0.3370    5.677    0.7807    0.0159    0.0000
  2.  0.2900    5.118    0.8100    0.0159    0.0000
  2.  0.2570    4.693    0.8596    0.0228    0.0000
  2.  0.2330    4.370    0.8120    0.0278    0.0000
  2.  0.2020    3.916    0.8417    0.0218    0.0000
  2.  0.1750    3.500    0.8933    0.0258    0.0000
  2.  0.1610    3.267    0.9439    0.0427    0.0000
  2.  0.1460    3.021    0.9216    0.0427    0.0000
  2.  0.1210    2.579    0.8923    0.0308    0.0000
  2.  0.1080    2.334    0.9012    0.0595    0.0000
  2.  0.0980    2.141    0.8839    0.0446    0.0000
  2.  0.0880    1.960    1.0798    0.0903    0.0000
  2.  0.7890   13.363    0.7366    0.0288    0.0000
  2.  0.7010   12.528    0.7217    0.0268    0.0000
  2.  0.6210   11.693    0.7316    0.0288    0.0000
  2.  0.5500   10.858    0.7733    0.0248    0.0000
  2.  0.4690    9.804    0.7425    0.0218    0.0000
  2.  0.4160    9.062    0.7966    0.0208    0.0000
  2.  0.3610    8.198    0.8105    0.0218    0.0000
  2.  0.3080    7.304    0.8239    0.0218    0.0000
  2.  0.2730    6.682    0.8358    0.0347    0.0000
  2.  0.2510    6.264    0.8308    0.0347    0.0000
