 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.40800   2.26600   4.16000     15210.00000         0.01200         0.00700         15.59404         15.67492
   0.35500   2.12100   4.73000     17100.00000         0.01200         0.00700         16.99184         17.36378
   0.29800   1.94100   5.45000     18530.00000         0.01200         0.00600         18.75343         18.96514
   0.24300   1.73200   6.27000     20500.00000         0.01300         0.00700         20.43919         20.34355
   0.20300   1.55300   6.97000     20650.00000         0.01300         0.00700         21.57667         21.31337
   0.17800   1.42800   7.46000     21360.00000         0.01300         0.00700         22.15923         21.96178
   0.15700   1.31200   7.92000     21700.00000         0.01300         0.00800         22.69548         22.58831
   0.10200   0.95800   9.32000     24660.00000         0.01700         0.01000         24.74375         25.08108
   0.74200   6.11500   3.01000       630.20000         0.02800         0.02100          0.57971          0.56307
   0.67300   5.86200   3.73000       912.10000         0.02800         0.01700          0.92439          0.89472
   0.61000   5.60500   4.46000      1307.00000         0.02800         0.01500          1.32885          1.29518
   0.55500   5.35200   5.18000      1750.00000         0.02200         0.01300          1.78023          1.72794
   0.48400   4.98600   6.20000      2358.00000         0.01600         0.01100          2.45101          2.37169
   0.40200   4.50100   7.59000      3277.00000         0.01300         0.00900          3.32295          3.22568
   0.34400   4.10300   8.71000      3871.00000         0.01300         0.00800          3.94452          3.88339
   0.30200   3.78000   9.63000      4358.00000         0.01300         0.00700          4.49226          4.39140
   0.26800   3.50100  10.43000      4783.00000         0.01400         0.00700          4.98432          4.81622
   0.24100   3.25400  11.14000      5134.00000         0.01700         0.00600          5.33274          5.18864
   0.21200   2.97300  11.92000      5556.00000         0.01300         0.00600          5.75190          5.61799
   0.19000   2.74000  12.60000      5880.00000         0.01600         0.00600          6.14875          5.99452
   0.17200   2.54600  13.15000      5909.00000         0.02100         0.00700          6.51323          6.32836
   0.15600   2.36200  13.67000      6390.00000         0.01900         0.00700          6.80282          6.67092
   0.14100   2.17800  14.20000      6091.00000         0.03200         0.00800          7.10266          7.04864
   0.12900   2.03600  14.60000      6880.00000         0.02300         0.00800          7.33708          7.36975
   0.11300   1.82700  15.19000      7474.00000         0.02800         0.00900          7.71940          7.90446
   0.09100   1.52600  16.05000      8332.00000         0.03600         0.01000          8.40167          8.85832
   0.58600   7.26300   6.01000       760.60000         0.01800         0.01600          0.75924          0.73838
   0.42800   6.07500   9.01000      1667.00000         0.01900         0.01100          1.61956          1.60748
   0.32100   5.06100  11.58000      2377.00000         0.02000         0.00800          2.37316          2.38928
   0.23600   4.07000  14.08000      3122.00000         0.01300         0.00600          3.19620          3.16378
   0.20100   3.61500  15.23000      3452.00000         0.02000         0.00600          3.63368          3.55062
   0.17900   3.30200  16.02000      3772.00000         0.02000         0.00600          3.99218          3.84305
   0.15700   2.98200  16.83000      4038.00000         0.02200         0.00700          4.36283          4.17680
   0.14300   2.76200  17.39000      4339.00000         0.02300         0.00700          4.61674          4.43435
   0.13000   2.54200  17.94000      4547.00000         0.02600         0.00800          4.84616          4.72111
   0.11600   2.31600  18.52000      4795.00000         0.02600         0.00800          5.03740          5.05755
   0.10600   2.14400  18.95000      5095.00000         0.03900         0.00900          5.23266          5.34727
   0.09600   1.97100  19.39000      5179.00000         0.03700         0.00900          5.44401          5.67781
   0.08000   1.66500  20.15000      5821.00000         0.03100         0.01000          5.89313          6.38596
   0.77100   9.14700   3.59000       155.40000         0.04300         0.02500          0.15252          0.14849
   0.66400   8.49400   5.18000       361.20000         0.02700         0.02000          0.36106          0.35307
   0.54100   7.60700   7.33000       809.20000         0.01600         0.01500          0.77452          0.76505
   0.47200   7.02600   8.74000      1118.00000         0.01300         0.01300          1.09416          1.08503
   0.40100   6.35900  10.37000      1520.00000         0.01400         0.01100          1.47289          1.47587
   0.33700   5.67400  12.04000      1890.00000         0.01300         0.00900          1.84877          1.88660
   0.29000   5.11800  13.40000      2218.00000         0.01300         0.00800          2.21514          2.22535
   0.25700   4.69600  14.42000      2487.00000         0.01500         0.00700          2.48704          2.48839
   0.23300   4.37000  15.23000      2706.00000         0.01800         0.00600          2.69887          2.70100
   0.20400   3.93800  16.27000      2891.00000         0.01700         0.00600          3.05741          2.99920
   0.17700   3.52600  17.28000      3244.00000         0.01700         0.00600          3.44634          3.31593
   0.16100   3.26700  17.92000      3439.00000         0.02600         0.00700          3.70724          3.53836
   0.14600   3.02100  18.52000      3705.00000         0.02600         0.00700          3.94740          3.77156
   0.12100   2.57200  19.60000      3963.00000         0.02100         0.00800          4.35720          4.27393
   0.10800   2.33400  20.19000      4185.00000         0.03500         0.00900          4.54903          4.59852
   0.09800   2.14600  20.64000      4766.00000         0.02800         0.00900          4.74713          4.89165
   0.08800   1.96000  21.10000      5188.00000         0.06000         0.00900          4.93277          5.22554
   0.78900  13.36300   4.46000        47.71000         0.02300         0.03000          0.06840          0.04498
   0.70100  12.52800   6.23000       107.60000         0.02000         0.02400          0.08548          0.10493
   0.62100  11.69300   8.00000       201.30000         0.01800         0.02100          0.19217          0.19805
   0.55000  10.85800   9.78000       333.10000         0.01700         0.01800          0.33083          0.32182
   0.46900   9.80900  11.99000       505.10000         0.01500         0.01500          0.51531          0.50972
   0.41600   9.06000  13.59000       674.80000         0.01500         0.01300          0.65580          0.66229
   0.35700   8.14400  15.52000       848.40000         0.01600         0.01100          0.82085          0.86298
   0.30900   7.32200  17.26000      1073.00000         0.01500         0.00900          0.99900          1.05658
   0.27300   6.68200  18.64000      1245.00000         0.02000         0.00800          1.14526          1.21834
   0.25100   6.26400  19.53000      1374.00000         0.02100         0.00700          1.24897          1.32990
   0.22400   5.71800  20.68000      1478.00000         0.01700         0.00700          1.41491          1.48559
   0.19600   5.13800  21.91000      1653.00000         0.01700         0.00600          1.63830          1.66930
   0.17100   4.59400  23.08000      1822.00000         0.02300         0.00600          1.89457          1.86662
   0.15300   4.17600  23.97000      1929.00000         0.02900         0.00700          2.11205          2.04064
   0.13400   3.71800  24.94000      2161.00000         0.03100         0.00700          2.36246          2.26274
   0.11800   3.34100  25.74000      2446.00000         0.03600         0.00800          2.57087          2.47962
   0.10500   3.01200  26.43000      2525.00000         0.03200         0.00800          2.75201          2.70249
   0.08600   2.50600  27.51000      2730.00000         0.08100         0.00900          3.01223          3.13533
   0.46400   2.00900   3.20000      8896.00000         0.01700         0.00800          9.11788          9.15589
   0.38800   1.82600   3.76000     10750.00000         0.01700         0.00800         10.99374         11.09680
   0.32400   1.64400   4.31000     12390.00000         0.01800         0.00900         12.36966         12.71362
   0.26800   1.46100   4.87000     13850.00000         0.01800         0.00900         13.72782         14.11629
   0.21900   1.27800   5.43000     15110.00000         0.01500         0.01000         15.20347         15.39741
   0.17700   1.09600   5.99000     16220.00000         0.01800         0.01100         16.67789         16.68810
   0.13900   0.91300   6.55000     17630.00000         0.02200         0.01100         18.32095         18.16235
   0.58600   4.08000   3.76000      1421.00000         0.02000         0.00800          1.41170          1.36875
   0.50300   3.74000   4.57000      1992.00000         0.02000         0.00700          2.03187          2.00457
   0.41500   3.32300   5.56000      2793.00000         0.01600         0.00700          2.87486          2.82741
   0.36600   3.06000   6.19000      3266.00000         0.02100         0.00700          3.46272          3.35488
   0.31900   2.78800   6.83000      3776.00000         0.01600         0.00800          4.01311          3.89853
   0.28400   2.57000   7.36000      4321.00000         0.01900         0.00800          4.51400          4.34184
   0.25600   2.38000   7.81000      4667.00000         0.01900         0.00900          4.90077          4.73364
   0.23300   2.21800   8.20000      4933.00000         0.02200         0.00900          5.25025          5.08042
   0.20900   2.04000   8.62000      5345.00000         0.02100         0.01000          5.61209          5.47967
   0.18800   1.87800   9.00000      5743.00000         0.02500         0.01000          5.95186          5.86910
   0.15600   1.61800   9.62000      6204.00000         0.04000         0.01100          6.60180          6.57549
   0.12700   1.36000  10.24000      7557.00000         0.04600         0.01100          7.36632          7.42698
   0.71100   6.62300   3.57000       239.10000         0.02600         0.01200          0.24145          0.23245
   0.63200   6.18300   4.48000       419.60000         0.02000         0.00900          0.42121          0.40501
   0.56000   5.74200   5.39000       641.00000         0.01900         0.00800          0.65029          0.62557
   0.49400   5.29900   6.30000       911.70000         0.01800         0.00700          0.91947          0.88409
   0.43400   4.85700   7.21000      1209.00000         0.01800         0.00700          1.21110          1.17139
   0.36700   4.31500   8.32000      1607.00000         0.01500         0.00700          1.61190          1.55452
   0.33200   4.01100   8.96000      1709.00000         0.02100         0.00700          1.83250          1.78541
   0.30600   3.77700   9.44000      1885.00000         0.02600         0.00800          2.03600          1.96878
   0.28100   3.53500   9.94000      1946.00000         0.02400         0.00800          2.26189          2.16661
   0.25900   3.31900  10.38000      2426.00000         0.02700         0.00800          2.45671          2.35086
   0.23700   3.09500  10.85000      2560.00000         0.02400         0.00900          2.65375          2.55402
   0.19600   2.65000  11.76000      3108.00000         0.03300         0.01000          3.09327          3.00070
   0.15800   2.21100  12.67000      3495.00000         0.04800         0.01000          3.61988          3.53690
   0.78100  10.84900   3.92000        41.41000         0.03000         0.01600          0.04079          0.03729
   0.71400  10.24600   4.99000        74.20000         0.03100         0.01300          0.07485          0.07079
   0.65100   9.64600   6.06000       130.00000         0.02500         0.01100          0.12335          0.11999
   0.59100   9.04300   7.13000       199.30000         0.02700         0.00900          0.18825          0.18578
   0.53500   8.44000   8.20000       278.20000         0.01900         0.00800          0.26901          0.26762
   0.48300   7.83700   9.28000       384.10000         0.01900         0.00700          0.36741          0.36511
   0.43300   7.23400  10.35000       502.20000         0.02000         0.00700          0.47454          0.47656
   0.38600   6.63100  11.42000       621.30000         0.02000         0.00700          0.59544          0.60198
   0.34200   6.02900  12.49000       778.30000         0.01900         0.00700          0.72561          0.74139
   0.29000   5.28100  13.81000       915.60000         0.02100         0.00700          0.93946          0.93605
   0.26000   4.82300  14.64000      1095.00000         0.03100         0.00800          1.07790          1.07102
   0.21000   4.02700  16.05000      1361.00000         0.04700         0.00900          1.37608          1.34243
   0.69400  13.69800   6.93000        40.99000         0.03000         0.01300          0.16225          0.03863
   0.64000  12.93700   8.16000        64.83000         0.02500         0.01100          0.06194          0.06199
   0.58900  12.17600   9.39000        99.50000         0.02500         0.01000          0.08377          0.09285
   0.54000  11.41500  10.62000       141.30000         0.02500         0.00800          0.13412          0.13148
   0.49300  10.65400  11.85000       178.90000         0.02000         0.00800          0.18203          0.17800
   0.44800   9.89300  13.08000       243.90000         0.02200         0.00700          0.23231          0.23252
   0.40500   9.13200  14.31000       306.20000         0.02300         0.00700          0.28940          0.29522
   0.36400   8.37100  15.54000       378.10000         0.02300         0.00700          0.34820          0.36649
   0.31400   7.40700  17.09000       469.60000         0.01900         0.00700          0.44611          0.47010
   0.28600   6.84900  18.00000       531.10000         0.02900         0.00700          0.51140          0.53841
   0.24900   6.08800  19.23000       640.00000         0.03100         0.00800          0.61299          0.64325
