 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_f1f217    F2d_ineft
   0.45300   1.87000   3.13839      0.16718      0.02800      0.01100          0.35151          0.17696
   0.34700   1.74100   4.15665      0.22877      0.02600      0.01200          0.45955          0.23182
   0.21400   1.46900   6.27584      0.28851      0.02700      0.01300          0.56603          0.28726
   0.12000   1.11500   9.05702      0.29981      0.02900      0.01600          0.58923          0.29774
   0.53900   2.76200   3.24266      0.11804      0.02000      0.00900          0.24004          0.12158
   0.48900   2.69300   3.69451      0.14083      0.02000      0.00900          0.29478          0.14682
   0.44000   2.61600   4.20981      0.16938      0.02000      0.00900          0.34487          0.17307
   0.37400   2.48900   5.04644      0.20880      0.02400      0.00900          0.40753          0.20986
   0.29700   2.29700   6.31736      0.25065      0.02500      0.01100          0.49446          0.25170
   0.23700   2.09800   7.63468      0.28499      0.02500      0.01200          0.55472          0.28009
   0.18700   1.88000   9.05383      0.30281      0.02500      0.01300          0.58748          0.29792
   0.14400   1.64400  10.65302      0.30853      0.02600      0.01400          0.60865          0.30634
   0.10800   1.38800  12.34421      0.31810      0.02600      0.01700          0.60506          0.30559
   0.07700   1.11400  14.23389      0.30769      0.02600      0.02500          0.58356          0.29559
   0.63900   4.14900   3.22431      0.06569      0.02500      0.01300          0.12860          0.06587
   0.58000   4.04400   3.80877      0.08822      0.02700      0.01100          0.17673          0.08958
   0.55300   3.99100   4.10635      0.09860      0.06000      0.01000          0.20095          0.10188
   0.47100   3.80400   5.15279      0.14484      0.02400      0.00800          0.28378          0.14440
   0.39800   3.59400   6.31651      0.18620      0.02400      0.00800          0.37100          0.18713
   0.33200   3.35700   7.63480      0.22480      0.02400      0.00800          0.44838          0.22715
   0.27300   3.09200   9.11436      0.26331      0.02500      0.00900          0.51858          0.26127
   0.22400   2.81900  10.64618      0.28982      0.02500      0.01200          0.56056          0.28604
   0.17900   2.50900  12.38811      0.30440      0.02600      0.01400          0.60106          0.30370
   0.14200   2.18900  14.10685      0.32172      0.02600      0.01500          0.61973          0.31260
   0.10800   1.83400  16.02784      0.32934      0.02500      0.01600          0.61729          0.31412
   0.08400   1.54200  17.69550      0.31463      0.02600      0.02200          0.60045          0.30944
   0.69200   5.18000   3.18590      0.04257      0.03700      0.01800          0.08358          0.04300
   0.60100   4.98100   4.18721      0.07687      0.03000      0.01200          0.14447          0.07442
   0.53200   4.80000   5.10291      0.10404      0.02500      0.01000          0.20635          0.10593
   0.45400   4.55300   6.35599      0.15011      0.02500      0.00800          0.29571          0.14868
   0.38700   4.29400   7.68196      0.18893      0.02600      0.00800          0.38041          0.18965
   0.32800   4.01400   9.10416      0.23263      0.02600      0.00800          0.44527          0.22684
   0.27400   3.69900  10.68135      0.25541      0.02700      0.00900          0.51248          0.25953
   0.22700   3.37300  12.36639      0.29471      0.02700      0.01000          0.55328          0.28483
   0.18500   3.01300  14.15384      0.31060      0.02700      0.01400          0.59546          0.30313
   0.14700   2.63100  16.14731      0.32128      0.02700      0.01700          0.62954          0.31444
   0.12000   2.30500  17.78369      0.32609      0.02800      0.01800          0.62734          0.31814
   0.09600   1.96800  19.41235      0.32755      0.02800      0.02000          0.61880          0.31710
   0.74600   6.87900   3.22253      0.02488      0.06000      0.02400          0.04671          0.02457
   0.69000   6.72900   3.90353      0.03601      0.04300      0.01800          0.07214          0.03765
   0.66200   6.64700   4.27414      0.03998      0.20700      0.01600          0.08742          0.04581
   0.59900   6.44100   5.19228      0.06929      0.03000      0.01300          0.13097          0.06846
   0.52800   6.17400   6.39954      0.09901      0.02800      0.01000          0.19737          0.10120
   0.46500   5.89400   7.66162      0.13584      0.02600      0.00900          0.27034          0.13613
   0.40400   5.56900   9.09601      0.17504      0.02600      0.00800          0.34675          0.17405
   0.34700   5.21500  10.69417      0.21421      0.02600      0.00800          0.41188          0.21139
   0.29700   4.84500  12.34849      0.24817      0.02600      0.00900          0.47393          0.24388
   0.25100   4.44600  14.14750      0.27297      0.02700      0.01000          0.51957          0.27181
   0.20800   4.00300  16.12255      0.30075      0.02700      0.01200          0.56106          0.29453
   0.17800   3.64900  17.73135      0.31109      0.02700      0.01500          0.59762          0.30746
   0.15000   3.26500  19.38202      0.32923      0.02700      0.01800          0.62706          0.31654
   0.12200   2.85100  21.39821      0.33957      0.02700      0.02100          0.63788          0.32197
   0.09900   2.43800  23.06862      0.32544      0.03100      0.02300          0.63216          0.32247
   0.07700   2.00900  24.96226      0.33899      0.03300      0.02400          0.61022          0.31838
   0.77100   8.08800   3.28263      0.01722      0.05300      0.02800          0.03372          0.01787
   0.71100   7.89700   4.09025      0.03007      0.03500      0.02000          0.05629          0.02963
   0.64500   7.65600   5.09412      0.04830      0.02700      0.01600          0.09125          0.04827
   0.57100   7.34800   6.40101      0.07487      0.02400      0.01200          0.14771          0.07716
   0.50800   7.03700   7.69572      0.10573      0.02400      0.01000          0.21162          0.10852
   0.44700   6.69100   9.15803      0.14195      0.02400      0.00900          0.28316          0.14413
   0.39300   6.32800  10.65414      0.17369      0.02400      0.00900          0.35342          0.17887
   0.34100   5.93100  12.34232      0.21250      0.02500      0.00900          0.41280          0.21369
   0.29300   5.49800  14.14686      0.23816      0.02500      0.00900          0.47145          0.24546
   0.24800   5.03200  16.13868      0.27059      0.02500      0.01000          0.51249          0.27327
   0.21500   4.63400  17.79984      0.29281      0.02500      0.01200          0.54429          0.29142
   0.18500   4.21900  19.46676      0.33241      0.02500      0.01400          0.58158          0.30548
   0.15700   3.80400  21.30565      0.31528      0.02600      0.01800          0.61579          0.31590
   0.13100   3.35500  23.13604      0.33682      0.02600      0.02200          0.63555          0.32248
   0.10700   2.88800  24.98301      0.33953      0.02500      0.02600          0.63758          0.32508
   0.08300   2.38600  27.24134      0.34020      0.02700      0.02600          0.62765          0.32326
   0.33700   1.17100   3.18413      0.23992      0.01000      0.00800          0.47426          0.24129
   0.29300   1.10200   3.53945      0.25780      0.00900      0.00800          0.51502          0.25979
   0.26000   1.04300   3.84889      0.27062      0.01000      0.00800          0.54593          0.27110
   0.23500   0.99400   4.11614      0.28224      0.01300      0.00900          0.55559          0.27792
   0.18800   0.88400   4.69848      0.28951      0.01300      0.01000          0.56041          0.28552
   0.15000   0.77300   5.26069      0.28935      0.01300      0.01200          0.55995          0.28457
   0.11800   0.66300   5.83600      0.27724      0.01400      0.01700          0.55004          0.27658
   0.52200   2.51500   3.18336      0.13430      0.01100      0.00900          0.26348          0.13302
   0.48500   2.44300   3.47447      0.14551      0.01300      0.00900          0.30360          0.15231
   0.40800   2.26600   4.16828      0.18854      0.01200      0.00800          0.38637          0.19441
   0.35500   2.12100   4.73400      0.22154      0.01200      0.00800          0.43379          0.22366
   0.29800   1.94100   5.45278      0.25071      0.01200      0.00800          0.49078          0.25332
   0.24300   1.73200   6.27593      0.28623      0.01300      0.00800          0.54543          0.27775
   0.20300   1.55300   6.97760      0.29074      0.01300      0.00900          0.57669          0.29106
   0.17800   1.42800   7.47483      0.29943      0.01300      0.01000          0.58906          0.29659
   0.15700   1.31200   7.92504      0.29968      0.01300      0.01100          0.59460          0.29903
   0.10200   0.95800   9.31451      0.30479      0.01700      0.02300          0.57870          0.29135
   0.74200   6.11500   3.00659      0.02987      0.02800      0.02100          0.05276          0.02745
   0.67300   5.86200   3.72861      0.04484      0.02800      0.01800          0.08743          0.04537
   0.61000   5.60500   4.46388      0.06624      0.02800      0.01600          0.13021          0.06766
   0.55500   5.35200   5.17160      0.09108      0.02200      0.01400          0.17878          0.09199
   0.48400   4.98600   6.19601      0.12631      0.01600      0.01300          0.25718          0.12958
   0.40200   4.50100   7.57587      0.18000      0.01300      0.01200          0.35955          0.17955
   0.34400   4.10300   8.70468      0.21413      0.01300      0.01100          0.42749          0.21677
   0.30200   3.78000   9.61691      0.24059      0.01300      0.01100          0.47883          0.24314
   0.26800   3.50100  10.44279      0.26184      0.01400      0.01200          0.52063          0.26321
   0.24100   3.25400  11.12843      0.27734      0.01700      0.01300          0.54472          0.27782
   0.21200   2.97300  11.93094      0.29320      0.01300      0.01500          0.56916          0.29163
   0.19000   2.74000  12.56141      0.30260      0.01600      0.01700          0.59062          0.30041
   0.17200   2.54600  13.13668      0.29612      0.02100      0.01900          0.60842          0.30627
   0.15600   2.36200  13.65938      0.31049      0.01900      0.01900          0.61566          0.31026
   0.14100   2.17800  14.14916      0.28484      0.03200      0.01900          0.61990          0.31274
   0.12900   2.03600  14.62730      0.31055      0.02300      0.01800          0.62066          0.31382
   0.11300   1.82700  15.22150      0.31733      0.02800      0.01700          0.61745          0.31351
   0.09100   1.52600  16.12359      0.31502      0.03600      0.02500          0.60424          0.30915
   0.58600   7.26300   6.01155      0.07075      0.01800      0.01800          0.13563          0.07103
   0.42800   6.07500   8.99928      0.15953      0.01900      0.01400          0.31180          0.15753
   0.32100   5.06100  11.58571      0.22346      0.02000      0.01300          0.44312          0.22838
   0.23600   4.07000  14.05612      0.27646      0.01300      0.01500          0.53630          0.28023
   0.20100   3.61500  15.25043      0.29223      0.02000      0.01800          0.57346          0.29743
   0.17900   3.30200  16.02528      0.30751      0.02000      0.02100          0.60022          0.30626
   0.15700   2.98200  16.89199      0.31325      0.02200      0.02400          0.62321          0.31315
   0.14300   2.76200  17.43304      0.32410      0.02300      0.02500          0.63225          0.31629
   0.13000   2.54200  17.89220      0.32427      0.02600      0.02500          0.63491          0.31812
   0.11600   2.31600  18.52987      0.32237      0.02600      0.02300          0.62823          0.31892
   0.10600   2.14400  18.96277      0.32600      0.03900      0.02200          0.62509          0.31849
   0.09600   1.97100  19.44060      0.31347      0.03700      0.02200          0.61889          0.31714
   0.08000   1.66500  20.02785      0.31135      0.03100      0.02800          0.60081          0.31211
   0.77100   9.14700   3.59717      0.01654      0.04300      0.02600          0.03113          0.01641
   0.66400   8.49400   5.17852      0.03989      0.02700      0.02100          0.07602          0.04059
   0.54100   7.60700   7.33435      0.09208      0.01600      0.01700          0.17239          0.09022
   0.47200   7.02600   8.73995      0.12826      0.01300      0.01600          0.25170          0.12845
   0.40100   6.35900  10.37921      0.17389      0.01400      0.01500          0.34370          0.17365
   0.33700   5.67400  12.04315      0.21258      0.01300      0.01400          0.41912          0.21681
   0.29000   5.11800  13.41063      0.24282      0.01300      0.01400          0.47835          0.24783
   0.25700   4.69600  14.45673      0.26508      0.01500      0.01500          0.51140          0.26821
   0.23300   4.37000  15.26572      0.28058      0.01800      0.01600          0.53364          0.28182
   0.20400   3.93800  16.24628      0.28755      0.01700      0.01800          0.56599          0.29640
   0.17700   3.52600  17.27526      0.30659      0.01700      0.02200          0.60017          0.30759
   0.16100   3.26700  17.90528      0.31355      0.02600      0.02400          0.61838          0.31287
   0.14600   3.02100  18.55114      0.32391      0.02600      0.02700          0.63070          0.31675
   0.12100   2.57200  19.56455      0.31510      0.02100      0.02700          0.63564          0.32023
   0.10800   2.33400  20.15747      0.31224      0.03500      0.02500          0.62954          0.32030
   0.09800   2.14600  20.63231      0.33653      0.02800      0.02300          0.62439          0.31934
   0.08800   1.96000  21.19308      0.34305      0.06000      0.02500          0.61552          0.31740
   0.78900  13.36300   4.45398      0.01109      0.02300      0.03100          0.02213          0.01081
   0.70100  12.52800   6.22397      0.02540      0.02000      0.02700          0.04866          0.02600
   0.62100  11.69300   8.01666      0.04778      0.01800      0.02400          0.08997          0.04961
   0.55000  10.85800   9.76417      0.07912      0.01700      0.02200          0.15164          0.07981
   0.46900   9.80900  11.98607      0.11818      0.01500      0.02000          0.24680          0.12464
   0.41600   9.06000  13.59920      0.15510      0.01500      0.01900          0.32072          0.15885
   0.35700   8.14400  15.54868      0.18871      0.01600      0.01800          0.39355          0.19960
   0.30900   7.32200  17.25415      0.22910      0.01500      0.01800          0.44949          0.23308
   0.27300   6.68200  18.67455      0.25525      0.02000      0.01800          0.48139          0.25719
   0.25100   6.26400  19.57253      0.27307      0.02100      0.01800          0.49735          0.27109
   0.22400   5.71800  20.68914      0.28020      0.01700      0.01900          0.52105          0.28688
   0.19600   5.13800  21.95664      0.29499      0.01700      0.02000          0.55452          0.30132
   0.17100   4.59400  23.15185      0.30598      0.02300      0.02300          0.58939          0.31208
   0.15300   4.17600  23.99847      0.30569      0.02900      0.02700          0.61276          0.31827
   0.13400   3.71800  24.90862      0.31930      0.03100      0.03200          0.63094          0.32308
   0.11800   3.34100  25.85291      0.33828      0.03600      0.03600          0.63844          0.32559
   0.10500   3.01200  26.55407      0.32457      0.03200      0.03700          0.63840          0.32625
   0.08600   2.50600  27.51389      0.30691      0.08100      0.03300          0.62444          0.32436
   0.46400   2.00900   3.20110      0.16474      0.01700      0.01000          0.33513          0.16933
   0.38800   1.82600   3.76054      0.20648      0.01700      0.01000          0.42306          0.21065
   0.32400   1.64400   4.31043      0.24248      0.01800      0.01000          0.47849          0.24362
   0.26800   1.46100   4.87085      0.27170      0.01800      0.01100          0.51883          0.26852
   0.21900   1.27800   5.43797      0.29112      0.01500      0.01200          0.55458          0.28468
   0.17700   1.09600   5.97645      0.29873      0.01800      0.01400          0.57572          0.29189
   0.13900   0.91300   6.53570      0.29939      0.02200      0.02000          0.58116          0.29046
   0.58600   4.08000   3.76281      0.08777      0.02000      0.01000          0.17118          0.08677
   0.50300   3.74000   4.57574      0.12484      0.02000      0.01000          0.25062          0.12819
   0.41500   3.32300   5.56458      0.17547      0.01600      0.01000          0.35115          0.17943
   0.36600   3.06000   6.18101      0.20373      0.02100      0.01100          0.41531          0.20937
   0.31900   2.78800   6.83217      0.23154      0.01600      0.01200          0.46659          0.23744
   0.28400   2.57000   7.35965      0.26006      0.01900      0.01300          0.50924          0.25704
   0.25600   2.38000   7.79723      0.27395      0.01900      0.01400          0.53661          0.27134
   0.23300   2.21800   8.18167      0.28275      0.02200      0.01500          0.55713          0.28179
   0.20900   2.04000   8.60112      0.29619      0.02100      0.01600          0.57412          0.29111
   0.18800   1.87800   8.99172      0.30564      0.02500      0.01700          0.58683          0.29760
   0.15600   1.61800   9.63415      0.30534      0.04000      0.01700          0.60137          0.30368
   0.12700   1.36000  10.22902      0.33379      0.04600      0.02100          0.60307          0.30375
   0.71100   6.62300   3.57240      0.03213      0.02600      0.01400          0.06270          0.03273
   0.63200   6.18300   4.48058      0.05681      0.02000      0.01200          0.10963          0.05719
   0.56000   5.74200   5.39193      0.08669      0.01900      0.01200          0.17052          0.08784
   0.49400   5.29900   6.30808      0.12228      0.01800      0.01200          0.24269          0.12259
   0.43400   4.85700   7.21460      0.15949      0.01800      0.01300          0.31579          0.15866
   0.36700   4.31500   8.32285      0.20483      0.01500      0.01300          0.40234          0.20179
   0.33200   4.01100   8.95068      0.21237      0.02100      0.01400          0.44095          0.22443
   0.30600   3.77700   9.44649      0.22922      0.02600      0.01500          0.47377          0.24079
   0.28100   3.53500   9.92543      0.22980      0.02400      0.01600          0.50667          0.25588
   0.25900   3.31900  10.37603      0.27865      0.02700      0.01700          0.53053          0.26837
   0.23700   3.09500  10.84443      0.28473      0.02400      0.01800          0.54920          0.27988
   0.19600   2.65000  11.75076      0.31908      0.03300      0.02200          0.58454          0.29780
   0.15800   2.21100  12.66303      0.32360      0.04800      0.02300          0.61316          0.30869
   0.78100  10.84900   3.92252      0.01408      0.03000      0.02100          0.02585          0.01334
   0.71400  10.24600   4.98449      0.02508      0.03100      0.01800          0.04746          0.02535
   0.65100   9.64600   6.05156      0.04339      0.02500      0.01700          0.07816          0.04246
   0.59100   9.04300   7.13854      0.06557      0.02700      0.01700          0.11985          0.06479
   0.53500   8.44000   8.21606      0.08953      0.01900      0.01600          0.17222          0.09115
   0.48300   7.83700   9.26903      0.12027      0.01900      0.01700          0.23365          0.12012
   0.43300   7.23400  10.35305      0.15205      0.02000      0.01700          0.29760          0.15131
   0.38600   6.63100  11.42811      0.18068      0.02000      0.01700          0.35956          0.18271
   0.34200   6.02900  12.48001      0.21564      0.01900      0.01800          0.41106          0.21285
   0.29000   5.28100  13.80970      0.23598      0.02100      0.01900          0.47659          0.24762
   0.26000   4.82300  14.60735      0.26760      0.03100      0.02000          0.50744          0.26636
   0.21000   4.02700  16.02955      0.29898      0.04700      0.02300          0.55877          0.29358
   0.69400  13.69800   6.92011      0.02643      0.03000      0.02300          0.04776          0.02673
   0.64000  12.93700   8.15742      0.04096      0.02500      0.02200          0.07654          0.04206
   0.58900  12.17600   9.37668      0.06119      0.02500      0.02100          0.11531          0.06116
   0.54000  11.41500  10.60424      0.08450      0.02500      0.02100          0.16281          0.08390
   0.49300  10.65400  11.83690      0.10329      0.02000      0.02100          0.21739          0.10959
   0.44800   9.89300  13.06994      0.13534      0.02200      0.02100          0.27630          0.13730
   0.40500   9.13200  14.29650      0.16269      0.02300      0.02100          0.33680          0.16598
   0.36400   8.37100  15.50661      0.19032      0.02300      0.02100          0.38609          0.19456
   0.31400   7.40700  17.06253      0.21906      0.01900      0.02100          0.44405          0.22964
   0.28600   6.84900  17.97891      0.23546      0.02900      0.02200          0.47124          0.24869
   0.24900   6.08800  19.24215      0.26225      0.03100      0.02300          0.49978          0.27235
   0.21400   5.32700  20.44588      0.29214      0.02800      0.02400          0.53448          0.29223
   0.51000  13.68100  14.02485      0.09136      0.02900      0.02400          0.18536          0.09709
   0.46800  12.76100  15.38645      0.11742      0.02600      0.02400          0.25831          0.12195
   0.42800  11.86200  16.73331      0.14188      0.02500      0.02400          0.32708          0.14792
   0.38900  10.96000  18.09516      0.16544      0.02400      0.02400          0.38563          0.17484
   0.34900  10.02100  19.57282      0.18324      0.02700      0.02400          0.43483          0.20333
   0.31300   9.13300  20.92627      0.20998      0.03100      0.02400          0.47002          0.22899
   0.27800   8.22000  22.22870      0.24324      0.03300      0.02400          0.48848          0.25318
   0.24300   7.30600  23.64020      0.25969      0.05700      0.02500          0.50169          0.27575
   0.54700   2.77200   3.17600      0.11976      0.02000      0.01200          0.23260          0.11771
   0.45300   2.46400   3.85565      0.16391      0.02000      0.01300          0.33853          0.16830
   0.37000   2.15600   4.55138      0.21573      0.02800      0.01300          0.42016          0.21556
   0.29800   1.84800   5.23370      0.25601      0.02200      0.01400          0.49048          0.25392
   0.23400   1.54000   5.92155      0.29547      0.02400      0.01500          0.54960          0.28095
   0.67000   4.47100   3.08249      0.05279      0.02100      0.01300          0.10431          0.05336
   0.55600   3.97400   4.05384      0.09932      0.02000      0.01200          0.19865          0.10066
   0.45700   3.47700   5.01167      0.15637      0.01900      0.01300          0.30418          0.15477
   0.36900   2.98000   5.97624      0.20615      0.02100      0.01400          0.41186          0.20827
   0.29000   2.48400   6.96187      0.25598      0.02000      0.01600          0.50232          0.25432
   0.22000   1.98700   7.92517      0.28439      0.06800      0.01900          0.56757          0.28683
   0.76800   7.44300   3.12876      0.01945      0.03800      0.01700          0.03672          0.01947
   0.66600   6.76700   4.27402      0.04712      0.02600      0.01500          0.08434          0.04424
   0.57300   6.09000   5.41863      0.07901      0.02200      0.01500          0.15574          0.08059
   0.48800   5.41300   6.55957      0.12061      0.02300      0.01600          0.24879          0.12529
   0.41000   4.73900   7.69989      0.17062      0.02700      0.01700          0.34714          0.17359
   0.33200   4.00600   8.94062      0.23595      0.03100      0.01800          0.44101          0.22444
   0.78100  10.27700   3.76213      0.01447      0.07900      0.02200          0.02655          0.01382
   0.69100   9.42100   5.09322      0.02931      0.05500      0.01900          0.05911          0.03174
   0.60700   8.56500   6.42573      0.05187      0.03600      0.01900          0.11080          0.05949
   0.52900   7.70800   7.74324      0.09723      0.03200      0.01900          0.18348          0.09586
   0.45600   6.85200   9.05467      0.13160      0.02900      0.01900          0.27125          0.13830
   0.38700   5.99500  10.37631      0.17837      0.03000      0.02000          0.36270          0.18358
   0.32200   5.13900  11.70098      0.23487      0.02700      0.02100          0.44118          0.22758
   0.80000  13.91800   4.35985      0.00930      0.10000      0.02900          0.01898          0.00936
   0.71900  12.84700   5.90123      0.02249      0.05800      0.02500          0.04181          0.02197
   0.64200  11.77700   7.44759      0.04124      0.04000      0.02400          0.07694          0.04254
   0.56900  10.70600   8.98982      0.06756      0.03600      0.02300          0.13266          0.07137
   0.50000   9.63500  10.51535      0.10424      0.03000      0.02300          0.20891          0.10717
   0.43400   8.56500  12.05038      0.14486      0.03000      0.02300          0.29373          0.14806
   0.37100   7.49400  13.58582      0.17927      0.03200      0.02300          0.37429          0.19103
   0.54700  12.83900  11.51302      0.07380      0.04200      0.02700          0.15395          0.07900
   0.48200  11.55500  13.29838      0.11222      0.04100      0.02600          0.23352          0.11481
   0.42100  10.27100  15.00603      0.13956      0.05700      0.02600          0.32109          0.15407
   0.42700   1.73800   3.21261      0.18926      0.01800      0.01000          0.37912          0.19216
   0.37600   1.71300   3.72321      0.21492      0.01800      0.01000          0.43741          0.21813
   0.32800   1.68300   4.32845      0.24029      0.01800      0.01100          0.47377          0.24140
   0.27900   1.64300   5.12624      0.26327      0.01800      0.01100          0.50852          0.26343
   0.23600   1.59800   6.05354      0.28471      0.01800      0.01100          0.54927          0.28032
   0.17400   1.50000   8.00104      0.30610      0.01800      0.01100          0.59134          0.29832
   0.12400   1.37600  10.60113      0.31588      0.01900      0.01100          0.60439          0.30435
   0.10200   1.29200  12.25502      0.31483      0.01900      0.01000          0.60090          0.30319
   0.08400   1.20300  13.99878      0.31545      0.01900      0.01100          0.59126          0.29968
   0.06800   1.10700  16.05277      0.30863      0.01900      0.01200          0.57438          0.29402
   0.37300   1.40400   3.24043      0.22184      0.01900      0.01000          0.43804          0.22315
   0.32200   1.37900   3.78396      0.24724      0.01800      0.01100          0.49535          0.24690
   0.27300   1.34800   4.47008      0.26857      0.01800      0.01100          0.52142          0.26690
   0.22100   1.30300   5.47328      0.28684      0.01800      0.01100          0.55374          0.28426
   0.17200   1.24000   6.84966      0.30402      0.01800      0.01100          0.58705          0.29526
   0.12400   1.14700   8.98335      0.30688      0.01900      0.01100          0.59081          0.29859
   0.10000   1.07700  10.57335      0.30458      0.01800      0.01100          0.59083          0.29612
   0.08100   1.00200  12.24873      0.30117      0.01800      0.01200          0.58173          0.29117
   0.06500   0.92100  14.12859      0.29690      0.01800      0.01200          0.56534          0.28409
   0.31600   1.10200   3.26570      0.24908      0.01900      0.01200          0.48987          0.25048
   0.26600   1.07800   3.85499      0.26978      0.01900      0.01200          0.54188          0.26933
   0.21700   1.04600   4.65463      0.28434      0.01800      0.01200          0.55300          0.28306
   0.16700   0.99700   5.85341      0.29660      0.01800      0.01200          0.57457          0.29111
   0.12400   0.93400   7.47861      0.30382      0.01900      0.01200          0.58296          0.29132
   0.09700   0.87400   9.01666      0.29153      0.02000      0.01200          0.56991          0.28679
   0.07700   0.81100  10.60182      0.29345      0.01900      0.01200          0.56569          0.27983
   0.22800   0.71600   3.30471      0.27537      0.01900      0.01400          0.53456          0.27321
   0.18100   0.69200   4.01156      0.28396      0.01900      0.01400          0.56576          0.27950
   0.13600   0.65800   5.06059      0.27988      0.01900      0.01300          0.54752          0.27798
   0.10200   0.61700   6.31237      0.27367      0.01900      0.01400          0.53950          0.27049
   0.08000   0.57900   7.53885      0.26434      0.01800      0.01400          0.52182          0.26157
   0.74700  11.76800   4.86604      0.01789      0.03300      0.02100          0.03402          0.01767
   0.70200  11.42800   5.73156      0.02624      0.01900      0.01900          0.04975          0.02673
   0.64900  10.98900   6.82356      0.04186      0.01500      0.01700          0.07481          0.04124
   0.60300  10.59000   7.85254      0.05587      0.01300      0.01600          0.10434          0.05757
   0.55100  10.09500   9.10659      0.07807      0.01600      0.01600          0.15050          0.08043
   0.49800   9.54200  10.49900      0.10505      0.01700      0.01600          0.21135          0.10842
   0.44900   8.98400  11.90526      0.13494      0.01700      0.01600          0.27299          0.13802
   0.40600   8.45700  13.25340      0.15733      0.01700      0.01600          0.33267          0.16627
   0.36800   7.94200  14.51988      0.18531      0.01700      0.01600          0.37878          0.19240
