 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.66200   6.64700   4.27000      3378.00000         0.18500         0.01500          3.54574          3.61217
   0.59900   6.44100   5.20000      5162.00000         0.03600         0.01200          4.98513          5.05976
   0.52800   6.17400   6.39000      6537.00000         0.03300         0.00900          6.76790          6.80009
   0.46500   5.89400   7.65000      8497.00000         0.03000         0.00800          8.36717          8.37322
   0.40400   5.56900   9.11000      9655.00000         0.03100         0.00700          9.72903          9.80551
   0.34700   5.21500  10.70000     10680.00000         0.03000         0.00700         10.80713         10.92672
   0.29700   4.84500  12.36000     11450.00000         0.03000         0.00700         11.55888         11.71453
   0.25100   4.44600  14.15000     12090.00000         0.03200         0.00800         12.11661         12.26309
   0.20800   4.00300  16.14000     12500.00000         0.03100         0.00800         12.58447         12.66649
   0.17800   3.64900  17.73000     12850.00000         0.03200         0.01100         12.92639         12.93324
   0.15000   3.26500  19.45000     13300.00000         0.03300         0.01200         13.29846         13.25151
   0.12200   2.85100  21.31000     13800.00000         0.03300         0.01300         13.81872         13.71660
   0.09900   2.43800  23.17000     15260.00000         0.03200         0.01600         14.52177         14.41619
   0.07700   2.00900  25.09000     16550.00000         0.03500         0.01600         15.61117         15.56000
   0.76400   8.06700   3.37000      1116.00000         0.05100         0.02700          1.16111          1.17240
   0.71600   7.91400   4.02000      1609.00000         0.04000         0.02100          1.69819          1.72232
   0.64500   7.65600   5.10000      2713.00000         0.03200         0.01500          2.66592          2.74829
   0.57100   7.34800   6.39000      3951.00000         0.02900         0.01200          3.91294          4.01742
   0.50800   7.03700   7.69000      5166.00000         0.02900         0.00900          5.13834          5.21526
   0.44700   6.69100   9.14000      6326.00000         0.02900         0.00800          6.30478          6.36872
   0.39300   6.32800  10.67000      7154.00000         0.03000         0.00800          7.24989          7.34720
   0.34100   5.93100  12.33000      8157.00000         0.03000         0.00700          8.04638          8.15880
   0.29300   5.49800  14.14000      8622.00000         0.03000         0.00700          8.66219          8.80043
   0.24800   5.03200  16.10000      9251.00000         0.03000         0.00800          9.17250          9.29070
   0.21500   4.63400  17.77000      9199.00000         0.03100         0.00800          9.55222          9.61224
   0.18500   4.21900  19.51000      9954.00000         0.03100         0.00900          9.90719          9.91032
   0.15700   3.80400  21.25000     10220.00000         0.03100         0.01100         10.27693         10.22227
   0.13100   3.35500  23.13000     10050.00000         0.03200         0.01200         10.75036         10.63626
   0.10700   2.88800  25.09000     11410.00000         0.02900         0.01500         11.39577         11.22991
   0.08300   2.38600  27.19000     12090.00000         0.03300         0.01600         12.32800         12.18686
   0.33700   1.17100   3.18000     71370.00000         0.01100         0.00500         71.37266         69.71635
   0.29300   1.10300   3.54000     72950.00000         0.01000         0.00500         74.01456         72.82161
   0.26000   1.04300   3.85000     73310.00000         0.01100         0.00600         74.33780         73.64284
   0.23500   0.99400   4.12000     72070.00000         0.01500         0.00600         73.12168         72.72369
   0.18800   0.88400   4.70000     70860.00000         0.01500         0.00700         70.66725         70.78912
   0.15000   0.77300   5.28000     67270.00000         0.01500         0.00700         69.05153         68.60252
   0.11800   0.66300   5.85000     66380.00000         0.01600         0.00800         66.90518         66.88683
   0.52100   2.51400   3.19000     14820.00000         0.01400         0.00700         14.61500         14.54361
   0.48500   2.44300   3.47000     15880.00000         0.01900         0.00600         16.15344         16.17266
   0.40900   2.26900   4.15000     18840.00000         0.01600         0.00500         18.91941         19.41055
   0.35500   2.12100   4.73000     20820.00000         0.01600         0.00500         20.56340         21.19734
   0.30000   1.94600   5.43000     21720.00000         0.01600         0.00400         22.53216         22.58333
   0.25300   1.77200   6.10000     23570.00000         0.01500         0.00500         23.93734         23.47108
   0.20200   1.54500   7.00000     23270.00000         0.01500         0.00500         24.85658         24.23339
   0.17900   1.43000   7.46000     23210.00000         0.01600         0.00600         25.02616         24.56795
   0.15700   1.31300   7.91000     24440.00000         0.01600         0.00600         25.08964         24.95167
   0.10200   0.95800   9.32000     25900.00000         0.02200         0.00800         25.30044         26.73983
   0.64900   4.29700   3.20000      3202.00000         0.01400         0.01300          3.02704          3.04931
   0.60600   4.17500   3.60000      3687.00000         0.01800         0.01100          3.77517          3.80436
   0.54000   3.96700   4.26000      4855.00000         0.01300         0.01000          4.84097          4.99784
   0.47500   3.73300   5.01000      6175.00000         0.01400         0.00800          6.09793          6.25427
   0.40900   3.46500   5.88000      7325.00000         0.01500         0.00700          7.45734          7.48856
   0.34600   3.16300   6.85000      8539.00000         0.01500         0.00600          8.68950          8.61280
   0.29800   2.89900   7.70000      9500.00000         0.01400         0.00500          9.50185          9.40981
   0.26700   2.71200   8.31000      9706.00000         0.01800         0.00400          9.91283          9.89706
   0.23600   2.49900   8.99000     10540.00000         0.01500         0.00400         10.28638         10.40308
   0.20900   2.30800   9.60000     10940.00000         0.01500         0.00400         10.65300         10.83676
   0.18900   2.14900  10.12000     11250.00000         0.01600         0.00500         11.04427         11.20028
   0.16700   1.96600  10.71000     11240.00000         0.02400         0.00500         11.42244         11.64378
   0.15000   1.82300  11.17000     12020.00000         0.02300         0.00600         11.74149         12.02451
   0.13600   1.69000  11.60000     12000.00000         0.02300         0.00600         12.09744         12.41907
   0.09500   1.26800  12.96000     13340.00000         0.03900         0.00800         13.58482         14.11049
   0.74200   6.11500   3.01000       791.00000         0.04400         0.02000          0.82695          0.96102
   0.67300   5.86200   3.73000      1195.00000         0.04200         0.01600          1.26796          1.26804
   0.61000   5.60500   4.46000      1756.00000         0.03700         0.01400          1.77366          1.80390
   0.55500   5.35200   5.18000      2368.00000         0.03200         0.01200          2.34301          2.36610
   0.46000   4.85700   6.58000      3428.00000         0.01100         0.01000          3.45948          3.42727
   0.40500   4.52200   7.53000      4101.00000         0.01400         0.00800          4.12879          4.08121
   0.34300   4.09800   8.73000      4849.00000         0.01600         0.00600          4.82846          4.81611
   0.30000   3.76800   9.67000      5218.00000         0.01300         0.00500          5.30378          5.32533
   0.26600   3.48500  10.47000      5658.00000         0.01700         0.00500          5.70201          5.72944
   0.24100   3.25400  11.14000      6240.00000         0.02300         0.00400          6.00049          6.04803
   0.21100   2.96200  11.96000      6502.00000         0.01600         0.00400          6.39580          6.44854
   0.19000   2.74000  12.60000      6674.00000         0.02000         0.00400          6.66978          6.76508
   0.17200   2.54600  13.15000      6625.00000         0.02100         0.00500          6.93892          7.05927
   0.15600   2.36200  13.67000      7223.00000         0.01800         0.00500          7.21979          7.36232
   0.14100   2.17800  14.20000      7015.00000         0.03500         0.00600          7.52592          7.69909
   0.12900   2.03600  14.60000      7635.00000         0.03400         0.00600          7.78379          7.98869
   0.11300   1.82700  15.19000      8325.00000         0.02800         0.00700          8.22589          8.47832
   0.09100   1.52600  16.05000      8976.00000         0.03300         0.00800          9.02845          9.37418
   0.58600   7.26300   6.01000      1040.00000         0.02700         0.01500          1.02409          1.03127
   0.42800   6.07500   9.01000      2068.00000         0.02800         0.01000          2.09732          2.08641
   0.32100   5.06100  11.58000      2944.00000         0.03000         0.00700          2.91488          2.92217
   0.23600   4.07000  14.08000      3742.00000         0.02700         0.00400          3.65686          3.67612
   0.20100   3.61500  15.23000      3972.00000         0.02700         0.00400          4.00848          4.03635
   0.17900   3.30200  16.02000      4328.00000         0.02800         0.00400          4.27218          4.30569
   0.15700   2.98200  16.83000      4671.00000         0.03100         0.00500          4.55749          4.61246
   0.14300   2.76200  17.39000      4896.00000         0.03200         0.00500          4.78748          4.85015
   0.13000   2.54200  17.94000      4990.00000         0.03700         0.00600          5.03471          5.11671
   0.11600   2.31600  18.52000      5227.00000         0.03900         0.00700          5.31811          5.43225
   0.10600   2.14400  18.95000      5635.00000         0.03900         0.00700          5.56800          5.70695
   0.09600   1.97100  19.39000      5849.00000         0.04500         0.00800          5.85811          6.02358
   0.08000   1.66900  20.14000      6571.00000         0.04200         0.00900          6.48692          6.70176
   0.77100   9.14700   3.59000       203.70000         0.06800         0.02500          0.20851          0.20858
   0.66400   8.49400   5.18000       540.20000         0.04200         0.01900          0.48896          0.50550
   0.54300   7.61900   7.30000      1022.00000         0.02100         0.01500          1.02638          1.04186
   0.47100   7.02100   8.76000      1430.00000         0.01700         0.01200          1.44652          1.44573
   0.40400   6.38200  10.31000      1894.00000         0.01800         0.01000          1.87501          1.87349
   0.33600   5.66000  12.07000      2404.00000         0.01600         0.00700          2.33611          2.33751
   0.29100   5.12500  13.38000      2711.00000         0.01500         0.00600          2.66421          2.66826
   0.25800   4.69900  14.42000      2869.00000         0.02100         0.00500          2.92289          2.92889
   0.23300   4.37000  15.23000      3307.00000         0.02400         0.00400          3.11818          3.13377
   0.20300   3.91900  16.31000      3414.00000         0.01800         0.00400          3.42109          3.42738
   0.17600   3.50900  17.32000      3602.00000         0.02200         0.00400          3.70270          3.72233
   0.16100   3.26700  17.92000      3614.00000         0.03700         0.00500          3.89151          3.91582
   0.14600   3.02100  18.52000      3987.00000         0.03700         0.00500          4.09622          4.13269
   0.12100   2.57300  19.60000      4390.00000         0.02500         0.00600          4.53853          4.60318
   0.10800   2.33400  20.19000      4606.00000         0.05000         0.00700          4.81450          4.91270
   0.09800   2.15300  20.63000      5234.00000         0.03700         0.00800          5.06760          5.18387
   0.08800   1.96000  21.10000      4767.00000         0.07000         0.00800          5.36548          5.51852
   0.78900  13.36300   4.46000        64.26000         0.02700         0.03000          0.05840          0.06138
   0.70100  12.52800   6.23000       147.90000         0.02500         0.02400          0.13112          0.15082
   0.62100  11.69300   8.00000       272.80000         0.02700         0.02000          0.23565          0.28085
   0.55000  10.85800   9.78000       427.30000         0.02200         0.01700          0.43464          0.44361
   0.46900   9.81600  11.97000       672.60000         0.02000         0.01400          0.67275          0.67430
   0.41700   9.06900  13.57000       837.60000         0.01900         0.01200          0.85000          0.85254
   0.36200   8.22000  15.36000      1017.00000         0.01900         0.01000          1.05636          1.05924
   0.30800   7.30200  17.30000      1300.00000         0.02000         0.00800          1.28715          1.28808
   0.27300   6.68200  18.64000      1478.00000         0.03100         0.00600          1.44690          1.44837
   0.25100   6.26400  19.53000      1641.00000         0.03000         0.00500          1.56182          1.55991
   0.22300   5.70100  20.71000      1708.00000         0.02100         0.00400          1.72865          1.71774
   0.19600   5.13900  21.91000      1958.00000         0.02200         0.00400          1.90976          1.89037
   0.17100   4.59400  23.08000      1931.00000         0.03700         0.00400          2.10044          2.07944
   0.15300   4.17600  23.97000      2181.00000         0.03600         0.00500          2.26773          2.24543
   0.13400   3.71800  24.94000      2430.00000         0.04500         0.00500          2.48067          2.45765
   0.11800   3.34100  25.74000      2270.00000         0.06000         0.00600          2.68465          2.66604
   0.10500   3.00200  26.45000      2733.00000         0.04100         0.00700          2.90128          2.88900
   0.08600   2.50600  27.51000      3188.00000         0.08600         0.00800          3.28047          3.30640
   0.46400   2.00900   3.20000     10880.00000         0.02400         0.00600         10.92353         10.85532
   0.38800   1.82600   3.76000     13290.00000         0.02400         0.00700         13.35616         13.48453
   0.32400   1.64400   4.31000     15170.00000         0.02200         0.00700         14.70303         15.10470
   0.26800   1.46100   4.87000     16110.00000         0.02400         0.00800         16.16021         16.43939
   0.21900   1.27800   5.43000     16710.00000         0.02200         0.00900         17.57940         17.54212
   0.17700   1.09600   5.99000     19060.00000         0.02300         0.01000         18.78363         18.59276
   0.13900   0.91300   6.55000     19600.00000         0.02500         0.01000         19.79191         19.79207
   0.58600   4.08000   3.76000      1852.00000         0.02800         0.00600          1.83987          1.86049
   0.50300   3.74000   4.57000      2674.00000         0.02900         0.00500          2.57951          2.64967
   0.41400   3.31500   5.58000      3570.00000         0.02100         0.00500          3.61522          3.62618
   0.36600   3.06000   6.19000      3878.00000         0.03000         0.00600          4.21397          4.17974
   0.31900   2.78800   6.83000      4673.00000         0.02100         0.00600          4.82943          4.74058
   0.28400   2.57000   7.36000      5150.00000         0.02600         0.00700          5.27649          5.17977
   0.25600   2.38000   7.81000      5477.00000         0.02600         0.00700          5.62353          5.55779
   0.23300   2.21800   8.20000      5663.00000         0.02700         0.00800          5.90188          5.88542
   0.20900   2.04000   8.62000      5722.00000         0.03100         0.00800          6.17240          6.25722
   0.18800   1.87800   9.00000      6726.00000         0.03000         0.00900          6.42051          6.61594
   0.15600   1.61800   9.62000      6913.00000         0.06000         0.01000          6.94566          7.26227
   0.12700   1.36000  10.24000      7024.00000         0.06300         0.01000          7.66166          8.04495
   0.71100   6.62300   3.57000       317.90000         0.04000         0.01000          0.33720          0.33005
   0.63200   6.18300   4.48000       585.00000         0.02800         0.00800          0.57221          0.56973
   0.56000   5.74200   5.39000       849.90000         0.02700         0.00600          0.86765          0.86043
   0.49400   5.29900   6.30000      1178.00000         0.02600         0.00500          1.20391          1.18261
   0.43400   4.85700   7.21000      1506.00000         0.02600         0.00500          1.55737          1.52214
   0.36800   4.32100   8.31000      2023.00000         0.01900         0.00500          1.97840          1.94492
   0.33200   4.01100   8.96000      2176.00000         0.02600         0.00600          2.20374          2.19512
   0.30600   3.77700   9.44000      2471.00000         0.02500         0.00600          2.38227          2.38531
   0.28100   3.53500   9.94000      2447.00000         0.03200         0.00600          2.57302          2.58635
   0.25900   3.31900  10.38000      2688.00000         0.03900         0.00700          2.74778          2.77027
   0.23700   3.09500  10.85000      2910.00000         0.04100         0.00700          2.93642          2.96983
   0.19600   2.65000  11.76000      3308.00000         0.04100         0.00800          3.32691          3.40058
   0.15800   2.21100  12.67000      4178.00000         0.08300         0.00900          3.78551          3.90941
   0.78100  10.84900   3.92000        56.58000         0.05800         0.01600          0.05199          0.05173
   0.71400  10.24600   4.99000       107.00000         0.04200         0.01200          0.09694          0.10166
   0.65100   9.64600   6.06000       176.10000         0.03600         0.00900          0.16257          0.17162
   0.59100   9.04300   7.13000       269.20000         0.03600         0.00700          0.24898          0.26059
   0.53500   8.44000   8.20000       385.00000         0.02600         0.00600          0.35671          0.36656
   0.48300   7.83700   9.28000       504.10000         0.02700         0.00500          0.48965          0.48772
   0.43300   7.23400  10.35000       617.70000         0.02700         0.00500          0.62896          0.62062
   0.38600   6.63100  11.42000       790.60000         0.02900         0.00500          0.77312          0.76422
   0.34200   6.02900  12.49000       919.20000         0.02900         0.00500          0.92590          0.91782
   0.28800   5.24900  13.87000      1106.00000         0.02500         0.00600          1.14238          1.13358
   0.26000   4.82300  14.64000      1237.00000         0.03000         0.00600          1.26601          1.26283
   0.21000   4.02700  16.05000      1640.00000         0.08400         0.00800          1.53066          1.53437
   0.69400  13.69800   6.93000        59.29000         0.04300         0.01200          0.04747          0.05547
   0.64000  12.93700   8.16000        92.59000         0.03700         0.01000          0.07404          0.08835
   0.58900  12.17600   9.39000       128.30000         0.03500         0.00800          0.12355          0.13007
   0.54000  11.41500  10.62000       188.50000         0.03600         0.00700          0.18289          0.18040
   0.49300  10.65400  11.85000       236.60000         0.03700         0.00600          0.24214          0.23893
   0.44800   9.89300  13.08000       301.60000         0.03600         0.00500          0.30922          0.30515
   0.40500   9.13200  14.31000       382.30000         0.03400         0.00500          0.38374          0.37866
   0.36400   8.37100  15.54000       463.90000         0.03500         0.00500          0.46432          0.45938
   0.31700   7.48000  16.97000       557.70000         0.02500         0.00500          0.57043          0.56336
   0.28600   6.84900  18.00000       628.80000         0.04400         0.00600          0.65095          0.64488
   0.24900   6.08800  19.23000       656.80000         0.06000         0.00600          0.76057          0.75345
   0.21400   5.32700  20.46000       887.40000         0.03600         0.00700          0.88707          0.87807
   0.51000  13.68100  14.00000       129.50000         0.04400         0.00700          0.13142          0.13075
   0.46800  12.76100  15.40000       171.10000         0.03200         0.00600          0.16994          0.16878
   0.42800  11.86200  16.76000       225.20000         0.03200         0.00500          0.21216          0.21069
   0.38900  10.96000  18.12000       276.20000         0.03900         0.00500          0.25932          0.25751
   0.34900  10.02100  19.54000       314.30000         0.04100         0.00500          0.31411          0.31167
   0.31300   9.13300  20.89000       353.70000         0.04500         0.00500          0.37205          0.36853
   0.27800   8.22000  22.27000       426.60000         0.05500         0.00600          0.43828          0.43357
   0.24300   7.30600  23.65000       451.50000         0.07700         0.00600          0.51518          0.50737
   0.54700   2.77200   3.18000      2816.00000         0.03000         0.00800          2.73056          2.74336
   0.45300   2.46400   3.86000      4010.00000         0.02800         0.00800          3.87296          3.96666
   0.37000   2.15600   4.55000      4809.00000         0.03100         0.00900          4.92827          5.07833
   0.29800   1.84800   5.23000      5905.00000         0.03100         0.01000          6.08399          6.13567
   0.23400   1.54000   5.91000      6953.00000         0.03100         0.01000          7.24703          7.17934
   0.67000   4.47100   3.09000       665.60000         0.03200         0.00800          0.65221          0.67759
   0.55600   3.97400   4.05000      1146.00000         0.03000         0.00700          1.15654          1.16894
   0.45700   3.47700   5.02000      1785.00000         0.02900         0.00800          1.78687          1.80822
   0.36900   2.98000   5.98000      2475.00000         0.02900         0.00800          2.50746          2.48315
   0.29000   2.48400   6.95000      3119.00000         0.02800         0.00900          3.25235          3.19003
   0.22000   1.98700   7.92000      3950.00000         0.07300         0.01000          3.99048          3.96896
   0.76800   7.44300   3.12000        97.49000         0.05700         0.01200          0.09392          0.09885
   0.66600   6.76700   4.27000       219.90000         0.04000         0.00800          0.22198          0.21681
   0.57300   6.09000   5.42000       413.30000         0.03200         0.00700          0.40979          0.40126
   0.48800   5.41300   6.56000       643.70000         0.03300         0.00700          0.65395          0.63384
   0.41000   4.73900   7.70000       920.80000         0.02900         0.00800          0.93308          0.90600
   0.33200   4.00600   8.94000      1268.00000         0.03200         0.00800          1.25361          1.24255
   0.78100  10.27700   3.77000        34.94000         0.12700         0.01300          0.03487          0.03384
   0.69100   9.42100   5.09000        75.25000         0.08900         0.00900          0.07963          0.08124
   0.60700   8.56500   6.42000       148.60000         0.07100         0.00700          0.15438          0.15628
   0.52900   7.70800   7.74000       277.40000         0.05100         0.00700          0.25970          0.25835
   0.45600   6.85200   9.07000       410.10000         0.04500         0.00700          0.39584          0.38688
   0.38700   5.99500  10.39000       566.50000         0.04200         0.00700          0.55013          0.53983
   0.32200   5.13900  11.72000       784.40000         0.03800         0.00800          0.72751          0.71899
   0.80000  13.91800   4.35000         8.64500         0.20700         0.01500          0.01198          0.01185
   0.71900  12.84700   5.89000        31.46000         0.10000         0.01000          0.02747          0.03038
   0.64200  11.77700   7.43000        62.69000         0.06600         0.00800          0.05346          0.06136
   0.56900  10.70600   8.97000       109.90000         0.06100         0.00700          0.10124          0.10653
   0.50000   9.63500  10.51000       185.00000         0.04700         0.00600          0.17144          0.16666
   0.43400   8.56500  12.05000       224.90000         0.04600         0.00700          0.24863          0.24201
   0.37100   7.49400  13.59000       366.90000         0.04500         0.00700          0.34055          0.33320
   0.54700  12.83900  11.52000        81.58000         0.06400         0.00600          0.07818          0.07641
   0.48200  11.55500  13.27000       110.70000         0.07300         0.00600          0.11895          0.11596
   0.42100  10.27100  15.03000       153.50000         0.07400         0.00700          0.16965          0.16574
   0.42700   1.73800   3.21000    941700.00000         0.01800         0.01100        917.73749        896.35747
   0.37700   1.71400   3.71000    941100.00000         0.01800         0.01100        938.59643        950.77956
   0.32600   1.68100   4.36000    926100.00000         0.01800         0.01200        932.50022        926.90679
   0.27400   1.63800   5.22000    876700.00000         0.01800         0.01200        883.20687        867.92146
   0.22400   1.58200   6.35000    782300.00000         0.01800         0.01200        790.32293        776.00847
   0.17600   1.50400   7.92000    672800.00000         0.01800         0.01200        675.67297        660.37958
   0.13800   1.41500   9.73000    573200.00000         0.01800         0.01100        555.61416        555.58253
   0.11200   1.33100  11.43000    495400.00000         0.01800         0.01100        492.06522        481.19247
   0.09900   1.27900  12.51000    458400.00000         0.01800         0.01100        456.80675        443.33651
   0.08400   1.20300  14.06000    414200.00000         0.02000         0.01100        415.36081        398.87903
   0.06800   1.10700  16.00000    376100.00000         0.01900         0.01100        372.26161        355.95756
   0.37300   1.40400   3.24000   1412000.00000         0.01900         0.01100       1455.54622       1348.79637
   0.32300   1.38000   3.78000   1401000.00000         0.01900         0.01200       1358.14500       1380.27277
   0.27100   1.34700   4.50000   1300000.00000         0.01900         0.01200       1270.25325       1280.21406
   0.22100   1.30300   5.48000   1158000.00000         0.01900         0.01200       1133.46595       1133.05738
   0.17800   1.24900   6.66000    991400.00000         0.01900         0.01200       1016.64298        972.72430
   0.12400   1.14700   9.00000    745900.00000         0.02000         0.01100        752.34295        740.35067
   0.10000   1.07700  10.56000    659200.00000         0.02000         0.01100        657.35379        634.62882
   0.08100   1.00200  12.25000    568400.00000         0.02000         0.01100        568.12799        549.55193
