 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
1.0   0.34800   1.74100   4.14223      0.82240      0.02980      0.00500          1.66270          0.83728          0.45897          0.27604          0.23134          0.27630
1.0   0.21400   1.46900   6.27584      0.84870      0.03170      0.00500          1.66063          0.87427          0.56603          0.34085          0.28726          0.32857
1.0   0.12000   1.11500   9.05702      0.88490      0.03570      0.00500          1.80386          0.92255          0.58923          0.32665          0.29774          0.32274
1.0   0.54100   2.76400   3.22541      0.76330      0.01490      0.00500          1.59472          0.81877          0.23811          0.14931          0.12061          0.14731
1.0   0.48700   2.69100   3.71502      0.76730      0.01490      0.00500          1.59181          0.79141          0.29678          0.18644          0.14785          0.18682
1.0   0.44000   2.61600   4.20981      0.79360      0.01490      0.00500          1.63388          0.79913          0.34487          0.21107          0.17307          0.21657
1.0   0.37500   2.49200   5.03369      0.81690      0.02480      0.00500          1.61080          0.81061          0.40640          0.25229          0.20929          0.25819
1.0   0.29700   2.29700   6.31736      0.82480      0.02680      0.00500          1.61701          0.83504          0.49446          0.30579          0.25170          0.30142
1.0   0.23700   2.09800   7.63468      0.84960      0.02880      0.00500          1.66452          0.85998          0.55472          0.33326          0.28009          0.32570
1.0   0.18700   1.88000   9.05383      0.88040      0.02880      0.00500          1.73313          0.88469          0.58748          0.33897          0.29792          0.33675
1.0   0.14400   1.64400  10.65302      0.89180      0.03080      0.00500          1.76032          0.90863          0.60865          0.34576          0.30634          0.33715
1.0   0.10800   1.38800  12.34421      0.95330      0.03080      0.00500          1.77262          0.93031          0.60506          0.34133          0.30559          0.32848
1.0   0.07700   1.11400  14.23389      0.94240      0.03170      0.00500          1.77207          0.94991          0.58356          0.32931          0.29559          0.31117
1.0   0.64100   4.15300   3.20629      0.71320      0.02180      0.00500          1.49932          0.76490          0.12721          0.08484          0.06514          0.08516
1.0   0.57900   4.04200   3.81936      0.73850      0.03080      0.00500          1.51459          0.75423          0.17758          0.11724          0.09002          0.11936
1.0   0.55300   3.99200   4.10716      0.77030      0.08730      0.00500          1.54107          0.76006          0.20092          0.13038          0.10187          0.13403
1.0   0.47100   3.80400   5.15279      0.78670      0.02780      0.00500          1.56289          0.77315          0.28378          0.18157          0.14440          0.18677
1.0   0.39800   3.59400   6.31651      0.78860      0.02680      0.00500          1.57976          0.79331          0.37100          0.23485          0.18713          0.23588
1.0   0.33200   3.35700   7.63480      0.79610      0.02880      0.00500          1.60620          0.81661          0.44838          0.27916          0.22715          0.27815
1.0   0.27300   3.09200   9.11436      0.84960      0.02880      0.00500          1.68036          0.84144          0.51858          0.30861          0.26127          0.31050
1.0   0.22400   2.81900  10.64618      0.87050      0.03080      0.00500          1.68974          0.86501          0.56056          0.33174          0.28604          0.33068
1.0   0.17900   2.50900  12.38811      0.88830      0.03170      0.00500          1.74199          0.88904          0.60106          0.34504          0.30370          0.34160
