 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_NMC    F2d_ineft
   0.23500   0.99400   4.11614      0.28224      0.01300      0.00900          0.28416          0.27792
   0.18800   0.88400   4.69848      0.28951      0.01300      0.01000          0.29686          0.28552
   0.15000   0.77300   5.26069      0.28935      0.01300      0.01200          0.29997          0.28457
   0.11800   0.66300   5.83600      0.27724      0.01400      0.01700          0.29466          0.27658
   0.52200   2.51500   3.18336      0.13430      0.01100      0.00900          0.13254          0.13302
   0.48500   2.44300   3.47447      0.14551      0.01300      0.00900          0.15160          0.15231
   0.40800   2.26600   4.16828      0.18854      0.01200      0.00800          0.19386          0.19441
   0.35500   2.12100   4.73400      0.22154      0.01200      0.00800          0.22385          0.22366
   0.29800   1.94100   5.45278      0.25071      0.01200      0.00800          0.25519          0.25332
   0.24300   1.73200   6.27593      0.28623      0.01300      0.00800          0.28231          0.27775
   0.20300   1.55300   6.97760      0.29074      0.01300      0.00900          0.29823          0.29106
   0.17800   1.42800   7.47483      0.29943      0.01300      0.01000          0.30561          0.29659
   0.15700   1.31200   7.92504      0.29968      0.01300      0.01100          0.30969          0.29903
   0.10200   0.95800   9.31451      0.30479      0.01700      0.02300          0.30571          0.29135
   0.74200   6.11500   3.00659      0.02987      0.02800      0.02100          0.02791          0.02745
   0.67300   5.86200   3.72861      0.04484      0.02800      0.01800          0.04623          0.04537
   0.61000   5.60500   4.46388      0.06624      0.02800      0.01600          0.06817          0.06766
   0.55500   5.35200   5.17160      0.09108      0.02200      0.01400          0.09161          0.09199
   0.48400   4.98600   6.19601      0.12631      0.01600      0.01300          0.12760          0.12958
   0.40200   4.50100   7.57587      0.18000      0.01300      0.01200          0.17583          0.17955
   0.34400   4.10300   8.70468      0.21413      0.01300      0.01100          0.21251          0.21677
   0.30200   3.78000   9.61691      0.24059      0.01300      0.01100          0.23913          0.24314
   0.26800   3.50100  10.44279      0.26184      0.01400      0.01200          0.25991          0.26321
   0.24100   3.25400  11.12843      0.27734      0.01700      0.01300          0.27548          0.27782
   0.21200   2.97300  11.93094      0.29320      0.01300      0.01500          0.29073          0.29163
   0.19000   2.74000  12.56141      0.30260      0.01600      0.01700          0.30093          0.30041
   0.17200   2.54600  13.13668      0.29612      0.02100      0.01900          0.30809          0.30627
   0.15600   2.36200  13.65938      0.31049      0.01900      0.01900          0.31337          0.31026
   0.14100   2.17800  14.14916      0.28484      0.03200      0.01900          0.31715          0.31274
   0.12900   2.03600  14.62730      0.31055      0.02300      0.01800          0.31925          0.31382
   0.11300   1.82700  15.22150      0.31733      0.02800      0.01700          0.32031          0.31351
   0.09100   1.52600  16.12359      0.31502      0.03600      0.02500          0.31754          0.30915
   0.58600   7.26300   6.01155      0.07075      0.01800      0.01800          0.07015          0.07103
   0.42800   6.07500   8.99928      0.15953      0.01900      0.01400          0.15232          0.15753
   0.32100   5.06100  11.58571      0.22346      0.02000      0.01300          0.22165          0.22838
   0.23600   4.07000  14.05612      0.27646      0.01300      0.01500          0.27553          0.28023
   0.20100   3.61500  15.25043      0.29223      0.02000      0.01800          0.29475          0.29743
   0.17900   3.30200  16.02528      0.30751      0.02000      0.02100          0.30524          0.30626
   0.15700   2.98200  16.89199      0.31325      0.02200      0.02400          0.31404          0.31315
   0.14300   2.76200  17.43304      0.32410      0.02300      0.02500          0.31853          0.31629
   0.13000   2.54200  17.89220      0.32427      0.02600      0.02500          0.32167          0.31812
   0.11600   2.31600  18.52987      0.32237      0.02600      0.02300          0.32383          0.31892
   0.10600   2.14400  18.96277      0.32600      0.03900      0.02200          0.32433          0.31849
   0.09600   1.97100  19.44060      0.31347      0.03700      0.02200          0.32382          0.31714
   0.08000   1.66500  20.02785      0.31135      0.03100      0.02800          0.31983          0.31211
   0.77100   9.14700   3.59717      0.01654      0.04300      0.02600          0.01648          0.01641
   0.66400   8.49400   5.17852      0.03989      0.02700      0.02100          0.04056          0.04059
   0.54100   7.60700   7.33435      0.09208      0.01600      0.01700          0.08778          0.09022
   0.47200   7.02600   8.73995      0.12826      0.01300      0.01600          0.12389          0.12845
   0.40100   6.35900  10.37921      0.17389      0.01400      0.01500          0.16708          0.17365
   0.33700   5.67400  12.04315      0.21258      0.01300      0.01400          0.20929          0.21681
   0.29000   5.11800  13.41063      0.24282      0.01300      0.01400          0.24058          0.24783
   0.25700   4.69600  14.45673      0.26508      0.01500      0.01500          0.26181          0.26821
   0.23300   4.37000  15.26572      0.28058      0.01800      0.01600          0.27645          0.28182
   0.20400   3.93800  16.24628      0.28755      0.01700      0.01800          0.29279          0.29640
   0.17700   3.52600  17.27526      0.30659      0.01700      0.02200          0.30609          0.30759
   0.16100   3.26700  17.90528      0.31355      0.02600      0.02400          0.31282          0.31287
   0.14600   3.02100  18.55114      0.32391      0.02600      0.02700          0.31816          0.31675
   0.12100   2.57200  19.56455      0.31510      0.02100      0.02700          0.32424          0.32023
   0.10800   2.33400  20.15747      0.31224      0.03500      0.02500          0.32562          0.32030
   0.09800   2.14600  20.63231      0.33653      0.02800      0.02300          0.32556          0.31934
   0.08800   1.96000  21.19308      0.34305      0.06000      0.02500          0.32437          0.31740
   0.78900  13.36300   4.45398      0.01109      0.02300      0.03100          0.01041          0.01081
   0.70100  12.52800   6.22397      0.02540      0.02000      0.02700          0.02521          0.02600
   0.62100  11.69300   8.01666      0.04778      0.01800      0.02400          0.04761          0.04961
   0.55000  10.85800   9.76417      0.07912      0.01700      0.02200          0.07579          0.07981
   0.46900   9.80900  11.98607      0.11818      0.01500      0.02000          0.11762          0.12464
   0.41600   9.06000  13.59920      0.15510      0.01500      0.01900          0.14991          0.15885
   0.35700   8.14400  15.54868      0.18871      0.01600      0.01800          0.18919          0.19960
   0.30900   7.32200  17.25415      0.22910      0.01500      0.01800          0.22243          0.23308
   0.27300   6.68200  18.67455      0.25525      0.02000      0.01800          0.24716          0.25719
   0.25100   6.26400  19.57253      0.27307      0.02100      0.01800          0.26187          0.27109
   0.22400   5.71800  20.68914      0.28020      0.01700      0.01900          0.27917          0.28688
   0.19600   5.13800  21.95664      0.29499      0.01700      0.02000          0.29578          0.30132
   0.17100   4.59400  23.15185      0.30598      0.02300      0.02300          0.30902          0.31208
   0.15300   4.17600  23.99847      0.30569      0.02900      0.02700          0.31727          0.31827
   0.13400   3.71800  24.90862      0.31930      0.03100      0.03200          0.32444          0.32308
   0.11800   3.34100  25.85291      0.33828      0.03600      0.03600          0.32897          0.32559
   0.10500   3.01200  26.55407      0.32457      0.03200      0.03700          0.33120          0.32625
   0.08600   2.50600  27.51389      0.30691      0.08100      0.03300          0.33122          0.32436
   0.46400   2.00900   3.20110      0.16474      0.01700      0.01000          0.16800          0.16933
   0.38800   1.82600   3.76054      0.20648      0.01700      0.01000          0.20990          0.21065
   0.32400   1.64400   4.31043      0.24248      0.01800      0.01000          0.24488          0.24362
   0.26800   1.46100   4.87085      0.27170      0.01800      0.01100          0.27281          0.26852
   0.21900   1.27800   5.43797      0.29112      0.01500      0.01200          0.29269          0.28468
   0.17700   1.09600   5.97645      0.29873      0.01800      0.01400          0.30372          0.29189
   0.13900   0.91300   6.53570      0.29939      0.02200      0.02000          0.30582          0.29046
   0.58600   4.08000   3.76281      0.08777      0.02000      0.01000          0.08744          0.08677
   0.50300   3.74000   4.57574      0.12484      0.02000      0.01000          0.12783          0.12819
   0.41500   3.32300   5.56458      0.17547      0.01600      0.01000          0.17797          0.17943
   0.36600   3.06000   6.18101      0.20373      0.02100      0.01100          0.20781          0.20937
   0.31900   2.78800   6.83217      0.23154      0.01600      0.01200          0.23642          0.23744
   0.28400   2.57000   7.35965      0.26006      0.01900      0.01300          0.25694          0.25704
   0.25600   2.38000   7.79723      0.27395      0.01900      0.01400          0.27237          0.27134
   0.23300   2.21800   8.18167      0.28275      0.02200      0.01500          0.28401          0.28179
   0.20900   2.04000   8.60112      0.29619      0.02100      0.01600          0.29481          0.29111
   0.18800   1.87800   8.99172      0.30564      0.02500      0.01700          0.30281          0.29760
   0.15600   1.61800   9.63415      0.30534      0.04000      0.01700          0.31146          0.30368
   0.12700   1.36000  10.22902      0.33379      0.04600      0.02100          0.31404          0.30375
   0.71100   6.62300   3.57240      0.03213      0.02600      0.01400          0.03340          0.03273
   0.63200   6.18300   4.48058      0.05681      0.02000      0.01200          0.05772          0.05719
   0.56000   5.74200   5.39193      0.08669      0.01900      0.01200          0.08730          0.08784
   0.49400   5.29900   6.30808      0.12228      0.01800      0.01200          0.12058          0.12259
   0.43400   4.85700   7.21460      0.15949      0.01800      0.01300          0.15531          0.15866
   0.36700   4.31500   8.32285      0.20483      0.01500      0.01300          0.19754          0.20179
   0.33200   4.01100   8.95068      0.21237      0.02100      0.01400          0.22018          0.22443
   0.30600   3.77700   9.44649      0.22922      0.02600      0.01500          0.23682          0.24079
   0.28100   3.53500   9.92543      0.22980      0.02400      0.01600          0.25247          0.25588
   0.25900   3.31900  10.37603      0.27865      0.02700      0.01700          0.26568          0.26837
   0.23700   3.09500  10.84443      0.28473      0.02400      0.01800          0.27815          0.27988
   0.19600   2.65000  11.75076      0.31908      0.03300      0.02200          0.29855          0.29780
   0.15800   2.21100  12.66303      0.32360      0.04800      0.02300          0.31247          0.30869
   0.78100  10.84900   3.92252      0.01408      0.03000      0.02100          0.01319          0.01334
   0.71400  10.24600   4.98449      0.02508      0.03100      0.01800          0.02521          0.02535
   0.65100   9.64600   6.05156      0.04339      0.02500      0.01700          0.04182          0.04246
   0.59100   9.04300   7.13854      0.06557      0.02700      0.01700          0.06307          0.06479
   0.53500   8.44000   8.21606      0.08953      0.01900      0.01600          0.08793          0.09115
   0.48300   7.83700   9.26903      0.12027      0.01900      0.01700          0.11527          0.12012
   0.43300   7.23400  10.35305      0.15205      0.02000      0.01700          0.14494          0.15131
   0.38600   6.63100  11.42811      0.18068      0.02000      0.01700          0.17522          0.18271
   0.34200   6.02900  12.48001      0.21564      0.01900      0.01800          0.20486          0.21285
   0.29000   5.28100  13.80970      0.23598      0.02100      0.01900          0.24005          0.24762
   0.26000   4.82300  14.60735      0.26760      0.03100      0.02000          0.25967          0.26636
   0.21000   4.02700  16.02955      0.29898      0.04700      0.02300          0.28957          0.29358
   0.69400  13.69800   6.92011      0.02643      0.03000      0.02300          0.02562          0.02673
   0.64000  12.93700   8.15742      0.04096      0.02500      0.02200          0.04013          0.04206
   0.58900  12.17600   9.37668      0.06119      0.02500      0.02100          0.05802          0.06116
   0.54000  11.41500  10.60424      0.08450      0.02500      0.02100          0.07921          0.08390
   0.49300  10.65400  11.83690      0.10329      0.02000      0.02100          0.10316          0.10959
   0.44800   9.89300  13.06994      0.13534      0.02200      0.02100          0.12919          0.13730
   0.40500   9.13200  14.29650      0.16269      0.02300      0.02100          0.15647          0.16598
   0.36400   8.37100  15.50661      0.19032      0.02300      0.02100          0.18413          0.19456
   0.31400   7.40700  17.06253      0.21906      0.01900      0.02100          0.21897          0.22964
   0.28600   6.84900  17.97891      0.23546      0.02900      0.02200          0.23844          0.24869
   0.24900   6.08800  19.24215      0.26225      0.03100      0.02300          0.26343          0.27235
   0.21400   5.32700  20.44588      0.29214      0.02800      0.02400          0.28552          0.29223
   0.51000  13.68100  14.02485      0.09136      0.02900      0.02400          0.08995          0.09709
   0.46800  12.76100  15.38645      0.11742      0.02600      0.02400          0.11301          0.12195
   0.42800  11.86200  16.73331      0.14188      0.02500      0.02400          0.13736          0.14792
   0.38900  10.96000  18.09516      0.16544      0.02400      0.02400          0.16298          0.17484
   0.34900  10.02100  19.57282      0.18324      0.02700      0.02400          0.19062          0.20333
   0.31300   9.13300  20.92627      0.20998      0.03100      0.02400          0.21619          0.22899
   0.27800   8.22000  22.22870      0.24324      0.03300      0.02400          0.24107          0.25318
   0.24300   7.30600  23.64020      0.25969      0.05700      0.02500          0.26523          0.27575
   0.54700   2.77200   3.17600      0.11976      0.02000      0.01200          0.11762          0.11771
   0.45300   2.46400   3.85565      0.16391      0.02000      0.01300          0.16763          0.16830
   0.37000   2.15600   4.55138      0.21573      0.02800      0.01300          0.21547          0.21556
   0.29800   1.84800   5.23370      0.25601      0.02200      0.01400          0.25603          0.25392
   0.23400   1.54000   5.92155      0.29547      0.02400      0.01500          0.28687          0.28095
   0.67000   4.47100   3.08249      0.05279      0.02100      0.01300          0.05424          0.05336
   0.55600   3.97400   4.05384      0.09932      0.02000      0.01200          0.10104          0.10066
   0.45700   3.47700   5.01167      0.15637      0.01900      0.01300          0.15380          0.15477
   0.36900   2.98000   5.97624      0.20615      0.02100      0.01400          0.20690          0.20827
   0.29000   2.48400   6.96187      0.25598      0.02000      0.01600          0.25449          0.25432
   0.22000   1.98700   7.92517      0.28439      0.06800      0.01900          0.29062          0.28683
   0.76800   7.44300   3.12876      0.01945      0.03800      0.01700          0.01966          0.01947
   0.66600   6.76700   4.27402      0.04712      0.02600      0.01500          0.04485          0.04424
   0.57300   6.09000   5.41863      0.07901      0.02200      0.01500          0.08013          0.08059
   0.48800   5.41300   6.55957      0.12061      0.02300      0.01600          0.12297          0.12529
   0.41000   4.73900   7.69989      0.17062      0.02700      0.01700          0.16970          0.17359
   0.33200   4.00600   8.94062      0.23595      0.03100      0.01800          0.22021          0.22444
   0.78100  10.27700   3.76213      0.01447      0.07900      0.02200          0.01373          0.01382
   0.69100   9.42100   5.09322      0.02931      0.05500      0.01900          0.03166          0.03174
   0.60700   8.56500   6.42573      0.05187      0.03600      0.01900          0.05842          0.05949
   0.52900   7.70800   7.74324      0.09723      0.03200      0.01900          0.09292          0.09586
   0.45600   6.85200   9.05467      0.13160      0.02900      0.01900          0.13327          0.13830
   0.38700   5.99500  10.37631      0.17837      0.03000      0.02000          0.17702          0.18358
   0.32200   5.13900  11.70098      0.23487      0.02700      0.02100          0.22072          0.22758
   0.80000  13.91800   4.35985      0.00930      0.10000      0.02900          0.00892          0.00936
   0.71900  12.84700   5.90123      0.02249      0.05800      0.02500          0.02129          0.02197
   0.64200  11.77700   7.44759      0.04124      0.04000      0.02400          0.04100          0.04254
   0.56900  10.70600   8.98982      0.06756      0.03600      0.02300          0.06814          0.07137
   0.50000   9.63500  10.51535      0.10424      0.03000      0.02300          0.10171          0.10717
   0.43400   8.56500  12.05038      0.14486      0.03000      0.02300          0.14041          0.14806
   0.37100   7.49400  13.58582      0.17927      0.03200      0.02300          0.18190          0.19103
   0.54700  12.83900  11.51302      0.07380      0.04200      0.02700          0.07398          0.07900
   0.48200  11.55500  13.29838      0.11222      0.04100      0.02600          0.10731          0.11481
   0.42100  10.27100  15.00603      0.13956      0.05700      0.02600          0.14433          0.15407
   0.42700   1.73800   3.21261      0.18926      0.01800      0.01000          0.19045          0.19216
   0.37600   1.71300   3.72321      0.21492      0.01800      0.01000          0.21744          0.21813
   0.32800   1.68300   4.32845      0.24029      0.01800      0.01100          0.24252          0.24140
   0.27900   1.64300   5.12624      0.26327      0.01800      0.01100          0.26679          0.26343
   0.23600   1.59800   6.05354      0.28471      0.01800      0.01100          0.28585          0.28032
   0.17400   1.50000   8.00104      0.30610      0.01800      0.01100          0.30682          0.29832
   0.12400   1.37600  10.60113      0.31588      0.01900      0.01100          0.31446          0.30435
   0.10200   1.29200  12.25502      0.31483      0.01900      0.01000          0.31360          0.30319
   0.08400   1.20300  13.99878      0.31545      0.01900      0.01100          0.30994          0.29968
   0.06800   1.10700  16.05277      0.30863      0.01900      0.01200          0.30352          0.29402
   0.37300   1.40400   3.24043      0.22184      0.01900      0.01000          0.22138          0.22315
   0.32200   1.37900   3.78396      0.24724      0.01800      0.01100          0.24753          0.24690
   0.27300   1.34800   4.47008      0.26857      0.01800      0.01100          0.27089          0.26690
   0.22100   1.30300   5.47328      0.28684      0.01800      0.01100          0.29204          0.28426
   0.17200   1.24000   6.84966      0.30402      0.01800      0.01100          0.30618          0.29526
   0.12400   1.14700   8.98335      0.30688      0.01900      0.01100          0.31125          0.29859
   0.10000   1.07700  10.57335      0.30458      0.01800      0.01100          0.30877          0.29612
   0.08100   1.00200  12.24873      0.30117      0.01800      0.01200          0.30315          0.29117
   0.06500   0.92100  14.12859      0.29690      0.01800      0.01200          0.29470          0.28409
   0.31600   1.10200   3.26570      0.24908      0.01900      0.01200          0.24950          0.25048
   0.26600   1.07800   3.85499      0.26978      0.01900      0.01200          0.27272          0.26933
   0.21700   1.04600   4.65463      0.28434      0.01800      0.01200          0.29160          0.28306
   0.16700   0.99700   5.85341      0.29660      0.01800      0.01200          0.30426          0.29111
   0.12400   0.93400   7.47861      0.30382      0.01900      0.01200          0.30670          0.29132
   0.09700   0.87400   9.01666      0.29153      0.02000      0.01200          0.30202          0.28679
   0.07700   0.81100  10.60182      0.29345      0.01900      0.01200          0.29378          0.27983
   0.22800   0.71600   3.30471      0.27537      0.01900      0.01400          0.27522          0.27321
   0.18100   0.69200   4.01156      0.28396      0.01900      0.01400          0.28948          0.27950
   0.13600   0.65800   5.06059      0.27988      0.01900      0.01300          0.29450          0.27798
   0.10200   0.61700   6.31237      0.27367      0.01900      0.01400          0.28922          0.27049
   0.08000   0.57900   7.53885      0.26434      0.01800      0.01400          0.27945          0.26157
   0.74700  11.76800   4.86604      0.01789      0.03300      0.02100          0.01737          0.01767
   0.70200  11.42800   5.73156      0.02624      0.01900      0.01900          0.02621          0.02673
   0.64900  10.98900   6.82356      0.04186      0.01500      0.01700          0.04010          0.04124
   0.60300  10.59000   7.85254      0.05587      0.01300      0.01600          0.05548          0.05757
   0.55100  10.09500   9.10659      0.07807      0.01600      0.01600          0.07684          0.08043
   0.49800   9.54200  10.49900      0.10505      0.01700      0.01600          0.10294          0.10842
   0.44900   8.98400  11.90526      0.13494      0.01700      0.01600          0.13069          0.13802
   0.40600   8.45700  13.25340      0.15733      0.01700      0.01600          0.15747          0.16627
   0.36800   7.94200  14.51988      0.18531      0.01700      0.01600          0.18261          0.19240
